epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.0545,0.67053,0.5659,0.98916,0.99783,0.99824,0.995,0.92814,0.39267,0.26365,0.84131,0.00326797,0.00326797,0.00326797
2,41.5205,0.67834,0.56614,0.97411,0.99142,0.99899,0.995,0.85163,0.65545,0.34222,0.91697,0.00659042,0.00659042,0.00659042
3,55.106,0.76202,0.64754,1.0184,0.97262,0.93316,0.986,0.70947,1.09751,0.64919,1.12105,0.00990186,0.00990186,0.00990186
4,68.6676,0.8234,0.72796,1.03782,0.91776,0.92605,0.97135,0.78223,0.79737,0.50595,0.99098,0.0099505,0.0099505,0.0099505
5,82.3271,0.82825,0.71478,1.03993,0.96747,0.97413,0.98772,0.81712,0.72125,0.42982,0.96231,0.009934,0.009934,0.009934
