epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,59.5891,0.53952,0.76293,0.98707,0.66381,0.0002185,0.0002185,0.0002185
2,93.8378,0.62168,0.74138,0.98707,0.76657,0.000397191,0.000397191,0.000397191
3,133.31,0.60055,0.67241,0.97414,1.45605,0.00053186,0.00053186,0.00053186
4,172.288,0.71402,0.72414,0.99138,0.77783,0.000468901,0.000468901,0.000468901
5,206.623,0.61516,0.73276,0.98276,0.86646,0.000402868,0.000402868,0.000402868
6,241.513,0.56215,0.77155,0.99138,0.6716,0.000336835,0.000336835,0.000336835
7,274.167,0.5752,0.73276,0.98707,0.71933,0.000270802,0.000270802,0.000270802
8,307.933,0.50279,0.78879,0.99138,0.70424,0.000204769,0.000204769,0.000204769
9,339.877,0.46867,0.75862,0.99569,0.63849,0.000138736,0.000138736,0.000138736
10,375.288,0.43225,0.78017,0.99138,0.70059,7.2703e-05,7.2703e-05,7.2703e-05
