epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,27.4779,0.37245,0.80564,0.98746,0.95731,0.000194469,0.000194469,0.000194469
2,43.8285,0.37897,0.79937,0.98119,1.21363,0.000386603,0.000386603,0.000386603
3,60.1091,0.45182,0.80878,0.97179,1.07078,0.000574857,0.000574857,0.000574857
4,75.4475,0.46733,0.82759,0.97179,0.98084,0.000570536,0.000570536,0.000570536
5,91.1003,0.45836,0.83072,0.98119,0.83797,0.000564715,0.000564715,0.000564715
6,106.839,0.46273,0.85893,0.99373,0.70739,0.000558894,0.000558894,0.000558894
7,122.46,0.55821,0.84953,0.97806,1.02478,0.000553073,0.000553073,0.000553073
8,138.314,0.46478,0.84013,0.97492,0.9239,0.000547252,0.000547252,0.000547252
9,154.147,0.46491,0.85266,0.98433,0.63651,0.00054143,0.00054143,0.00054143
10,169.899,0.47335,0.83386,0.98433,0.84107,0.000535609,0.000535609,0.000535609
11,185.876,0.44442,0.83386,0.98746,0.87834,0.000529788,0.000529788,0.000529788
12,201.774,0.46885,0.83699,0.98746,0.88115,0.000523967,0.000523967,0.000523967
13,217.65,0.43111,0.84326,1,0.847,0.000518146,0.000518146,0.000518146
14,233.768,0.47497,0.83699,0.98119,0.90354,0.000512324,0.000512324,0.000512324
15,250.273,0.45461,0.85893,0.99373,0.86496,0.000506503,0.000506503,0.000506503
16,266.397,0.44511,0.81818,0.98433,0.91688,0.000500682,0.000500682,0.000500682
17,282.454,0.43254,0.83699,0.97806,1.02248,0.000494861,0.000494861,0.000494861
18,298.553,0.45625,0.84639,0.98433,0.84781,0.00048904,0.00048904,0.00048904
19,314.813,0.44805,0.88401,0.98119,0.68187,0.000483218,0.000483218,0.000483218
20,330.895,0.42551,0.88088,0.98746,0.78896,0.000477397,0.000477397,0.000477397
21,347.036,0.45986,0.86207,0.98119,0.64282,0.000471576,0.000471576,0.000471576
22,363.095,0.45133,0.8652,0.9906,0.83182,0.000465755,0.000465755,0.000465755
23,379.153,0.39839,0.8652,0.97492,0.70095,0.000459934,0.000459934,0.000459934
24,395.377,0.41973,0.87461,0.98433,0.66957,0.000454112,0.000454112,0.000454112
25,411.412,0.40802,0.86834,0.98746,0.68897,0.000448291,0.000448291,0.000448291
26,427.488,0.41704,0.8558,0.98119,0.77228,0.00044247,0.00044247,0.00044247
27,443.516,0.41164,0.86834,0.9906,0.69056,0.000436649,0.000436649,0.000436649
28,459.593,0.43691,0.88088,0.9906,0.71028,0.000430828,0.000430828,0.000430828
29,475.715,0.40885,0.84953,0.98119,0.75022,0.000425006,0.000425006,0.000425006
30,491.834,0.37845,0.85266,0.9906,0.74571,0.000419185,0.000419185,0.000419185
31,508.09,0.36955,0.88401,0.98746,0.75441,0.000413364,0.000413364,0.000413364
32,524.292,0.39769,0.85893,0.9906,0.72337,0.000407543,0.000407543,0.000407543
33,540.601,0.41036,0.87774,0.98433,0.77941,0.000401722,0.000401722,0.000401722
34,556.744,0.40384,0.87461,0.9906,0.69619,0.0003959,0.0003959,0.0003959
35,572.883,0.40345,0.85266,0.98119,0.75375,0.000390079,0.000390079,0.000390079
36,589.314,0.41828,0.87147,0.98746,0.71861,0.000384258,0.000384258,0.000384258
37,605.518,0.37077,0.86207,0.97806,0.79231,0.000378437,0.000378437,0.000378437
38,621.797,0.36969,0.87774,0.98746,0.76547,0.000372616,0.000372616,0.000372616
39,638.292,0.38038,0.87774,0.98433,0.79125,0.000366794,0.000366794,0.000366794
40,654.591,0.41213,0.8652,0.9906,0.74865,0.000360973,0.000360973,0.000360973
41,671.005,0.40196,0.86834,0.98119,0.60547,0.000355152,0.000355152,0.000355152
42,687.19,0.40336,0.84953,0.98119,0.76597,0.000349331,0.000349331,0.000349331
43,703.643,0.34132,0.88715,0.98433,0.68169,0.00034351,0.00034351,0.00034351
44,720.18,0.3425,0.87461,0.97806,0.73822,0.000337688,0.000337688,0.000337688
45,736.461,0.36827,0.88088,0.98433,0.73814,0.000331867,0.000331867,0.000331867
46,752.608,0.35644,0.87774,0.98433,0.75258,0.000326046,0.000326046,0.000326046
47,768.873,0.31292,0.87774,0.98433,0.73736,0.000320225,0.000320225,0.000320225
48,785.072,0.36822,0.86834,0.98433,0.70539,0.000314404,0.000314404,0.000314404
49,801.55,0.36432,0.89028,0.97806,0.70838,0.000308582,0.000308582,0.000308582
50,817.85,0.36149,0.86207,0.98119,0.82063,0.000302761,0.000302761,0.000302761
51,834.311,0.34359,0.87461,0.98433,0.76494,0.00029694,0.00029694,0.00029694
52,850.596,0.35856,0.87461,0.98433,0.77629,0.000291119,0.000291119,0.000291119
53,866.968,0.37017,0.89342,0.98746,0.64142,0.000285298,0.000285298,0.000285298
54,883.437,0.36881,0.88715,0.98746,0.73298,0.000279476,0.000279476,0.000279476
55,899.726,0.3574,0.88715,0.98433,0.68381,0.000273655,0.000273655,0.000273655
56,916.154,0.40637,0.87147,0.97492,0.6853,0.000267834,0.000267834,0.000267834
57,932.65,0.34097,0.87461,0.97806,0.6932,0.000262013,0.000262013,0.000262013
58,949.154,0.33465,0.87461,0.98119,0.64149,0.000256192,0.000256192,0.000256192
59,965.477,0.34538,0.89655,0.9906,0.65304,0.00025037,0.00025037,0.00025037
60,982.057,0.35224,0.89655,0.9906,0.6315,0.000244549,0.000244549,0.000244549
61,998.408,0.35939,0.88715,0.98433,0.70975,0.000238728,0.000238728,0.000238728
62,1014.86,0.36422,0.89655,0.99373,0.67775,0.000232907,0.000232907,0.000232907
63,1031.14,0.28435,0.88401,0.9906,0.65614,0.000227086,0.000227086,0.000227086
64,1047.52,0.30674,0.87461,0.98119,0.73114,0.000221264,0.000221264,0.000221264
65,1064.05,0.35323,0.88088,0.98746,0.66746,0.000215443,0.000215443,0.000215443
66,1080.61,0.29969,0.87147,0.98433,0.72586,0.000209622,0.000209622,0.000209622
67,1097.11,0.32813,0.88715,0.98746,0.73676,0.000203801,0.000203801,0.000203801
68,1113.5,0.33891,0.89028,0.98119,0.73127,0.00019798,0.00019798,0.00019798
69,1129.79,0.36393,0.89342,0.99373,0.65251,0.000192158,0.000192158,0.000192158
70,1146.3,0.36722,0.89342,0.9906,0.66604,0.000186337,0.000186337,0.000186337
71,1162.7,0.34009,0.90909,0.98746,0.66539,0.000180516,0.000180516,0.000180516
72,1179.12,0.29379,0.88715,0.98119,0.70888,0.000174695,0.000174695,0.000174695
