epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,26.0692,0.25983,0.89342,0.98746,0.68562,0.000194469,0.000194469,0.000194469
2,41.0186,0.2678,0.87774,0.97179,0.79129,0.000382737,0.000382737,0.000382737
3,56.2834,0.32533,0.87147,0.97179,0.86787,0.000563245,0.000563245,0.000563245
4,71.6848,0.35954,0.87147,0.97179,0.89968,0.000553073,0.000553073,0.000553073
5,87.2238,0.38316,0.8558,0.98746,0.7659,0.00054143,0.00054143,0.00054143
6,102.728,0.40686,0.8558,0.9906,0.81871,0.000529788,0.000529788,0.000529788
7,118.48,0.42499,0.88401,0.99373,0.72999,0.000518146,0.000518146,0.000518146
8,134.351,0.36044,0.85893,0.98746,0.74235,0.000506503,0.000506503,0.000506503
9,150.343,0.33609,0.86207,0.99373,0.70041,0.000494861,0.000494861,0.000494861
10,166.254,0.40558,0.87147,0.98746,0.66552,0.000483218,0.000483218,0.000483218
11,182.19,0.35757,0.8652,0.96865,0.79546,0.000471576,0.000471576,0.000471576
12,198.286,0.38662,0.8652,0.98119,0.90588,0.000459934,0.000459934,0.000459934
13,214.233,0.34894,0.8558,0.98433,0.86029,0.000448291,0.000448291,0.000448291
14,230.507,0.40304,0.86207,0.97806,0.9568,0.000436649,0.000436649,0.000436649
15,246.57,0.36013,0.86207,0.97806,0.82361,0.000425006,0.000425006,0.000425006
16,262.708,0.33853,0.85266,0.97492,0.94936,0.000413364,0.000413364,0.000413364
17,278.795,0.30611,0.87147,0.98119,0.82793,0.000401722,0.000401722,0.000401722
18,294.824,0.34611,0.84953,0.97492,0.87566,0.000390079,0.000390079,0.000390079
19,310.948,0.34098,0.87147,0.97492,0.87564,0.000378437,0.000378437,0.000378437
20,327.283,0.31778,0.87147,0.98119,0.85753,0.000366794,0.000366794,0.000366794
21,343.585,0.31997,0.88088,0.97492,0.85652,0.000355152,0.000355152,0.000355152
22,359.938,0.35891,0.87774,0.97806,0.8586,0.00034351,0.00034351,0.00034351
23,376.253,0.29522,0.85893,0.97179,0.8779,0.000331867,0.000331867,0.000331867
24,392.631,0.30748,0.8652,0.98119,0.91858,0.000320225,0.000320225,0.000320225
25,409.02,0.28764,0.85266,0.97179,0.94842,0.000308582,0.000308582,0.000308582
26,425.321,0.30101,0.84953,0.97806,0.95538,0.00029694,0.00029694,0.00029694
27,441.774,0.28893,0.84639,0.97179,0.89754,0.000285298,0.000285298,0.000285298
28,458.327,0.33681,0.84953,0.97179,0.93333,0.000273655,0.000273655,0.000273655
29,474.701,0.28792,0.87147,0.97806,0.75457,0.000262013,0.000262013,0.000262013
30,491.165,0.28981,0.86834,0.98119,0.85149,0.00025037,0.00025037,0.00025037
31,507.919,0.26862,0.85266,0.9906,0.90354,0.000238728,0.000238728,0.000238728
32,524.63,0.28709,0.85893,0.98746,0.88525,0.000227086,0.000227086,0.000227086
33,541.504,0.31504,0.87147,0.98433,0.83116,0.000215443,0.000215443,0.000215443
34,558.256,0.30095,0.87774,0.97806,0.81175,0.000203801,0.000203801,0.000203801
35,575.056,0.27694,0.87774,0.97492,0.83989,0.000192158,0.000192158,0.000192158
36,591.805,0.28952,0.88088,0.98433,0.84869,0.000180516,0.000180516,0.000180516
37,608.662,0.26083,0.87461,0.98433,0.82047,0.000168874,0.000168874,0.000168874
38,625.685,0.24661,0.86834,0.98433,0.83009,0.000157231,0.000157231,0.000157231
39,642.592,0.2682,0.87147,0.98119,0.82954,0.000145589,0.000145589,0.000145589
40,659.441,0.28706,0.87774,0.97492,0.78989,0.000133946,0.000133946,0.000133946
41,678.215,0.29884,0.88088,0.98119,0.80667,0.000122304,0.000122304,0.000122304
42,694.588,0.29811,0.88715,0.98433,0.79311,0.000110662,0.000110662,0.000110662
43,711.106,0.28211,0.88088,0.98746,0.82304,9.90192e-05,9.90192e-05,9.90192e-05
44,727.829,0.33666,0.88401,0.98433,0.84895,8.73768e-05,8.73768e-05,8.73768e-05
45,744.399,0.28866,0.87774,0.98433,0.84279,7.57344e-05,7.57344e-05,7.57344e-05
46,761.216,0.31718,0.88088,0.98433,0.82493,6.4092e-05,6.4092e-05,6.4092e-05
47,777.943,0.31852,0.88088,0.98433,0.8457,5.24496e-05,5.24496e-05,5.24496e-05
48,794.542,0.27976,0.88401,0.98119,0.83008,4.08072e-05,4.08072e-05,4.08072e-05
49,811.099,0.26858,0.87774,0.98119,0.84552,2.91648e-05,2.91648e-05,2.91648e-05
50,827.592,0.35898,0.88401,0.98433,0.81406,1.75224e-05,1.75224e-05,1.75224e-05
