epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.0764,0.517,0.54892,1.68878,0.85319,0.99963,1,0.995,0.89231,0.99963,1,0.995,0.93045,0.43635,0.3547,1.32535,0.85034,0.000662338,0.000662338,0.000662338
2,113.23,0.49663,0.38183,0.79933,0.82898,0.98498,1,0.99446,0.89094,0.98498,1,0.99446,0.9442,0.40721,0.30108,0.64897,0.84126,0.00119743,0.00119743,0.00119743
3,159.907,0.46223,0.34042,0.5228,0.82444,0.99982,1,0.995,0.89539,0.99982,1,0.995,0.94947,0.44585,0.27093,0.41467,0.8477,0.00160053,0.00160053,0.00160053
4,206.258,0.43186,0.36465,0.40425,0.81324,0.99985,1,0.995,0.92578,0.99985,1,0.995,0.95803,0.33404,0.2587,0.29747,0.82457,0.001406,0.001406,0.001406
5,252.356,0.38514,0.31612,0.34765,0.79829,0.99906,1,0.995,0.9504,0.99906,1,0.995,0.96465,0.296,0.23693,0.28016,0.8121,0.001208,0.001208,0.001208
6,298.458,0.33165,0.27796,0.29965,0.79029,0.99992,1,0.995,0.96008,0.99992,1,0.995,0.9731,0.26192,0.22507,0.23595,0.80982,0.00101,0.00101,0.00101
7,344.335,0.28694,0.26094,0.25845,0.78417,0.99992,1,0.995,0.97372,0.99992,1,0.995,0.97743,0.23521,0.22261,0.21341,0.80638,0.000812,0.000812,0.000812
8,390.291,0.2585,0.25063,0.23324,0.77562,0.99859,1,0.995,0.98599,0.99859,1,0.995,0.98338,0.22067,0.20782,0.19357,0.80142,0.000614,0.000614,0.000614
9,436.364,0.2356,0.24917,0.20907,0.77674,0.99993,1,0.995,0.98769,0.99993,1,0.995,0.98702,0.19916,0.19535,0.17449,0.79877,0.000416,0.000416,0.000416
10,482.319,0.19956,0.23636,0.18709,0.76556,0.99993,1,0.995,0.99043,0.99993,1,0.995,0.98551,0.15171,0.19231,0.14932,0.79434,0.000218,0.000218,0.000218
