epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.9045,0.77627,0.52819,1.05513,0.99368,0.98358,0.98626,0.84669,0.63803,0.24449,0.98704,0.000274917,0.000274917,0.000274917
2,70.2783,0.79321,0.53501,1.06173,0.9888,0.98329,0.98596,0.84824,0.62694,0.25983,0.97859,0.000547114,0.000547114,0.000547114
3,98.0773,0.8315,0.56977,1.08371,0.99349,0.98171,0.98505,0.76865,0.89516,0.33705,1.08011,0.000813812,0.000813812,0.000813812
4,125.861,0.85933,0.5999,1.10293,0.98855,0.98185,0.98342,0.79842,0.78497,0.30997,1.0586,0.00080826,0.00080826,0.00080826
5,153.831,0.85802,0.58259,1.09105,0.98801,0.9846,0.98376,0.77981,0.88082,0.3395,1.09581,0.000800013,0.000800013,0.000800013
6,181.846,0.87063,0.61348,1.1144,0.99118,0.98506,0.98532,0.80162,0.77609,0.30269,1.04786,0.000791767,0.000791767,0.000791767
7,209.977,0.86853,0.60148,1.10299,0.98487,0.98632,0.9849,0.80685,0.75182,0.29546,1.03143,0.00078352,0.00078352,0.00078352
8,238.189,0.86109,0.60069,1.10074,0.98565,0.98383,0.98556,0.81549,0.74525,0.29884,1.03665,0.000775273,0.000775273,0.000775273
9,266.351,0.8625,0.60086,1.10105,0.9852,0.98479,0.98421,0.80698,0.76522,0.30649,1.03902,0.000767026,0.000767026,0.000767026
10,294.561,0.86125,0.602,1.09917,0.98555,0.98248,0.98291,0.79441,0.78932,0.30398,1.05455,0.00075878,0.00075878,0.00075878
11,322.873,0.86465,0.60816,1.11114,0.98122,0.98218,0.98165,0.81641,0.7266,0.30083,1.03837,0.000750533,0.000750533,0.000750533
12,351.128,0.86048,0.5901,1.10482,0.98595,0.98139,0.9838,0.83107,0.70192,0.28529,1.01833,0.000742286,0.000742286,0.000742286
13,379.535,0.86225,0.5936,1.09954,0.98924,0.97519,0.98487,0.82008,0.73289,0.2888,1.01826,0.00073404,0.00073404,0.00073404
14,407.967,0.86055,0.59908,1.0985,0.98728,0.97982,0.98165,0.83433,0.64127,0.28432,1.0078,0.000725793,0.000725793,0.000725793
15,436.31,0.85591,0.59227,1.10067,0.98364,0.98617,0.98539,0.80987,0.76301,0.2982,1.03941,0.000717546,0.000717546,0.000717546
16,464.677,0.85666,0.6069,1.10579,0.98837,0.98336,0.98577,0.80981,0.74103,0.29101,1.02949,0.000709299,0.000709299,0.000709299
17,493.032,0.85081,0.58835,1.09063,0.99134,0.98078,0.98507,0.82962,0.70508,0.28142,1.01197,0.000701053,0.000701053,0.000701053
18,521.398,0.85805,0.59037,1.09648,0.98825,0.98187,0.9857,0.80037,0.8037,0.30065,1.03374,0.000692806,0.000692806,0.000692806
19,549.742,0.84867,0.58183,1.09091,0.98847,0.98166,0.98501,0.84121,0.66104,0.26981,0.99896,0.000684559,0.000684559,0.000684559
20,578.188,0.85423,0.59855,1.09526,0.98876,0.98303,0.98599,0.83048,0.69138,0.27889,0.99563,0.000676313,0.000676313,0.000676313
21,606.608,0.8407,0.5758,1.08432,0.98897,0.98169,0.98493,0.83407,0.68222,0.27987,1.00237,0.000668066,0.000668066,0.000668066
22,634.987,0.85803,0.59682,1.1035,0.98813,0.98348,0.98533,0.78111,0.86037,0.31858,1.06795,0.000659819,0.000659819,0.000659819
23,663.394,0.84425,0.57435,1.0886,0.9906,0.9844,0.98556,0.82676,0.69678,0.28003,1.02427,0.000651573,0.000651573,0.000651573
24,691.858,0.84924,0.59047,1.09285,0.98966,0.98197,0.98587,0.82775,0.68652,0.28146,1.02163,0.000643326,0.000643326,0.000643326
25,720.219,0.84195,0.57676,1.08717,0.98761,0.98484,0.98567,0.84027,0.64427,0.26677,0.99022,0.000635079,0.000635079,0.000635079
26,748.655,0.84626,0.59224,1.09411,0.99183,0.98046,0.9854,0.83771,0.65306,0.27157,0.98419,0.000626832,0.000626832,0.000626832
27,777.149,0.83775,0.5863,1.09208,0.9905,0.98372,0.98582,0.83736,0.64175,0.27128,0.99866,0.000618586,0.000618586,0.000618586
28,805.574,0.84249,0.59023,1.09073,0.9888,0.98353,0.98587,0.82411,0.71695,0.27998,0.99893,0.000610339,0.000610339,0.000610339
29,834.15,0.83809,0.5778,1.09563,0.9877,0.98421,0.98578,0.8306,0.68712,0.27349,1.01531,0.000602092,0.000602092,0.000602092
30,862.54,0.83824,0.57623,1.08786,0.9868,0.9824,0.98587,0.83069,0.69265,0.27892,0.99978,0.000593846,0.000593846,0.000593846
31,891.12,0.83361,0.5653,1.08925,0.98777,0.98232,0.98687,0.85426,0.64029,0.26152,0.99614,0.000585599,0.000585599,0.000585599
32,919.587,0.82479,0.57257,1.08728,0.98365,0.98422,0.98556,0.83819,0.65998,0.26962,0.99083,0.000577352,0.000577352,0.000577352
33,948.211,0.8323,0.57592,1.08965,0.98883,0.98457,0.98603,0.82671,0.71526,0.27754,1.01163,0.000569106,0.000569106,0.000569106
34,976.792,0.82169,0.56441,1.08011,0.98997,0.98315,0.98564,0.83618,0.65333,0.27735,1.00745,0.000560859,0.000560859,0.000560859
35,1005.3,0.82642,0.55953,1.08173,0.99368,0.98238,0.98535,0.84082,0.6381,0.2754,0.99479,0.000552612,0.000552612,0.000552612
36,1033.74,0.82934,0.56206,1.08158,0.98909,0.98118,0.98572,0.84056,0.65384,0.26684,0.99884,0.000544365,0.000544365,0.000544365
37,1062.25,0.82473,0.56783,1.08347,0.98287,0.982,0.9834,0.82754,0.691,0.27909,1.00061,0.000536119,0.000536119,0.000536119
38,1090.78,0.83308,0.57115,1.0896,0.98924,0.98152,0.98443,0.8393,0.64389,0.26168,0.99725,0.000527872,0.000527872,0.000527872
39,1119.32,0.83121,0.56008,1.08456,0.99036,0.98329,0.98518,0.83709,0.6514,0.26853,1.00905,0.000519625,0.000519625,0.000519625
40,1147.94,0.8192,0.56575,1.08328,0.98909,0.98063,0.98147,0.83422,0.66134,0.26955,1.00224,0.000511379,0.000511379,0.000511379
41,1176.45,0.81871,0.56493,1.08221,0.9903,0.98197,0.98444,0.81292,0.76807,0.28405,1.04332,0.000503132,0.000503132,0.000503132
42,1205.01,0.80547,0.55308,1.07208,0.98767,0.98238,0.98399,0.82466,0.72115,0.28412,1.01371,0.000494885,0.000494885,0.000494885
43,1233.56,0.81427,0.55209,1.07776,0.99364,0.98219,0.98532,0.81278,0.75027,0.28733,1.01654,0.000486639,0.000486639,0.000486639
44,1262.06,0.81954,0.56224,1.08192,0.98868,0.98364,0.98578,0.82764,0.7162,0.27428,1.02481,0.000478392,0.000478392,0.000478392
45,1290.57,0.8172,0.54709,1.0788,0.99356,0.98281,0.98572,0.82317,0.70914,0.27571,1.02809,0.000470145,0.000470145,0.000470145
46,1319.04,0.80939,0.55574,1.07667,0.99131,0.98118,0.9859,0.84149,0.65891,0.25695,0.99942,0.000461898,0.000461898,0.000461898
47,1347.66,0.81061,0.55279,1.08186,0.99004,0.98193,0.98458,0.84771,0.62665,0.25586,0.99424,0.000453652,0.000453652,0.000453652
48,1376.22,0.80742,0.55556,1.07705,0.99246,0.97975,0.98452,0.82837,0.70644,0.26739,1.02483,0.000445405,0.000445405,0.000445405
49,1404.87,0.80652,0.55434,1.08031,0.98994,0.98357,0.98711,0.84348,0.68649,0.26393,1.00592,0.000437158,0.000437158,0.000437158
50,1433.55,0.80363,0.54952,1.07411,0.9904,0.9837,0.9867,0.85269,0.63298,0.25229,1.00768,0.000428912,0.000428912,0.000428912
51,1462.22,0.80783,0.54832,1.07551,0.99067,0.98375,0.98566,0.84728,0.62876,0.2531,1.00438,0.000420665,0.000420665,0.000420665
52,1490.74,0.80893,0.54993,1.07581,0.99121,0.98195,0.98642,0.85521,0.62103,0.25231,0.98692,0.000412418,0.000412418,0.000412418
53,1519.24,0.80021,0.54176,1.07314,0.99057,0.98353,0.98584,0.85389,0.62178,0.25065,0.97583,0.000404172,0.000404172,0.000404172
54,1547.82,0.79905,0.54227,1.07658,0.98542,0.98372,0.98511,0.83165,0.67753,0.26634,1.00779,0.000395925,0.000395925,0.000395925
55,1576.61,0.79838,0.5336,1.06634,0.98787,0.98393,0.98517,0.84723,0.61509,0.25703,0.99251,0.000387678,0.000387678,0.000387678
56,1605.16,0.79538,0.54467,1.07536,0.99063,0.98314,0.98577,0.84651,0.64618,0.25611,0.98052,0.000379431,0.000379431,0.000379431
57,1633.93,0.79389,0.52917,1.06689,0.99424,0.98251,0.98605,0.85104,0.62745,0.24835,0.97591,0.000371185,0.000371185,0.000371185
58,1662.46,0.79275,0.53234,1.06432,0.99276,0.98287,0.98653,0.86214,0.59561,0.24236,0.9647,0.000362938,0.000362938,0.000362938
59,1691.17,0.79882,0.55396,1.07083,0.99246,0.98302,0.98558,0.84409,0.6297,0.25282,0.98387,0.000354691,0.000354691,0.000354691
60,1719.89,0.79251,0.54834,1.0651,0.99479,0.98277,0.986,0.85391,0.60887,0.24668,0.98012,0.000346445,0.000346445,0.000346445
61,1748.69,0.79296,0.54399,1.06437,0.99467,0.98213,0.98666,0.85927,0.60369,0.24531,0.97945,0.000338198,0.000338198,0.000338198
62,1777.36,0.78559,0.52718,1.06604,0.99025,0.98353,0.98483,0.85848,0.59472,0.24219,0.97376,0.000329951,0.000329951,0.000329951
63,1806.12,0.79159,0.52916,1.06715,0.99038,0.98357,0.98634,0.85489,0.62089,0.25102,0.97987,0.000321705,0.000321705,0.000321705
64,1834.66,0.79204,0.53001,1.0597,0.98857,0.98197,0.98441,0.84807,0.63648,0.2529,0.99046,0.000313458,0.000313458,0.000313458
65,1863.34,0.78247,0.53008,1.06124,0.9912,0.98306,0.98562,0.84988,0.61447,0.24571,0.98847,0.000305211,0.000305211,0.000305211
66,1892.01,0.79077,0.53429,1.06577,0.99047,0.98339,0.98564,0.85522,0.61973,0.24579,0.98406,0.000296964,0.000296964,0.000296964
67,1920.6,0.7907,0.53542,1.06797,0.98898,0.98349,0.98522,0.84341,0.65541,0.25528,1.00197,0.000288718,0.000288718,0.000288718
68,1949.32,0.79202,0.53788,1.06663,0.99143,0.98218,0.98567,0.85707,0.60725,0.24323,0.9738,0.000280471,0.000280471,0.000280471
69,1977.91,0.77341,0.50925,1.05237,0.99442,0.98365,0.9861,0.84537,0.64357,0.24626,0.99022,0.000272224,0.000272224,0.000272224
70,2006.52,0.77682,0.51627,1.06266,0.99342,0.98132,0.98601,0.83726,0.67295,0.25756,1.00803,0.000263978,0.000263978,0.000263978
71,2035.13,0.77261,0.52304,1.05341,0.99306,0.98144,0.98575,0.84059,0.66934,0.25512,1.00142,0.000255731,0.000255731,0.000255731
72,2063.69,0.77244,0.51948,1.05677,0.99329,0.98085,0.98637,0.84537,0.64957,0.24907,0.99186,0.000247484,0.000247484,0.000247484
73,2092.38,0.77648,0.52433,1.05949,0.99327,0.98213,0.98576,0.85039,0.63135,0.24787,0.98826,0.000239238,0.000239238,0.000239238
74,2121,0.7618,0.50397,1.04518,0.99145,0.98145,0.98476,0.85402,0.6138,0.24419,0.98904,0.000230991,0.000230991,0.000230991
75,2149.57,0.7611,0.51208,1.04841,0.99327,0.98065,0.98612,0.85467,0.62142,0.24619,0.98168,0.000222744,0.000222744,0.000222744
76,2178.12,0.77222,0.5159,1.06264,0.98888,0.98397,0.98618,0.85311,0.62109,0.24455,0.98178,0.000214497,0.000214497,0.000214497
77,2206.69,0.7653,0.51459,1.05028,0.99318,0.9802,0.98615,0.8601,0.6045,0.23968,0.97129,0.000206251,0.000206251,0.000206251
78,2235.24,0.76014,0.51288,1.04865,0.99087,0.97985,0.98478,0.85855,0.60012,0.23995,0.96983,0.000198004,0.000198004,0.000198004
79,2263.8,0.76631,0.51422,1.05466,0.99142,0.98186,0.987,0.85597,0.59818,0.23844,0.96879,0.000189757,0.000189757,0.000189757
80,2292.57,0.76574,0.51649,1.05261,0.99253,0.98223,0.98583,0.85814,0.59263,0.23517,0.96578,0.000181511,0.000181511,0.000181511
81,2321.14,0.75956,0.51953,1.05241,0.98883,0.98088,0.98447,0.85441,0.60555,0.23892,0.97192,0.000173264,0.000173264,0.000173264
82,2350,0.75532,0.51273,1.04962,0.99167,0.98218,0.98566,0.85251,0.62099,0.24014,0.97807,0.000165017,0.000165017,0.000165017
83,2378.59,0.74339,0.50027,1.04225,0.98936,0.98256,0.98578,0.84474,0.63812,0.24384,0.98183,0.000156771,0.000156771,0.000156771
84,2407.16,0.76116,0.5093,1.05008,0.98992,0.98258,0.98616,0.86145,0.58713,0.23227,0.96773,0.000148524,0.000148524,0.000148524
85,2435.73,0.75578,0.50523,1.05055,0.99169,0.98099,0.98623,0.85781,0.60884,0.23762,0.97126,0.000140277,0.000140277,0.000140277
86,2464.46,0.76099,0.50524,1.0449,0.99181,0.98279,0.98581,0.8543,0.61473,0.23791,0.97708,0.000132031,0.000132031,0.000132031
87,2493.01,0.75399,0.51105,1.04748,0.9933,0.98251,0.98602,0.85101,0.6304,0.24017,0.98303,0.000123784,0.000123784,0.000123784
88,2521.57,0.74876,0.50723,1.04534,0.99229,0.98166,0.98712,0.86059,0.60044,0.2334,0.97431,0.000115537,0.000115537,0.000115537
89,2550.16,0.74869,0.5002,1.04811,0.99374,0.98249,0.9861,0.84729,0.63561,0.24044,0.98414,0.00010729,0.00010729,0.00010729
90,2578.76,0.74005,0.50661,1.04508,0.99333,0.98284,0.98578,0.85575,0.61088,0.23652,0.97979,9.90437e-05,9.90437e-05,9.90437e-05
91,2608.25,0.51189,0.26088,0.94484,0.99141,0.98237,0.98541,0.84669,0.63041,0.24499,0.99001,9.0797e-05,9.0797e-05,9.0797e-05
92,2636.21,0.48394,0.22663,0.93096,0.99031,0.9811,0.98567,0.8481,0.64315,0.24337,0.98973,8.25503e-05,8.25503e-05,8.25503e-05
93,2664.17,0.48016,0.22393,0.93479,0.98978,0.98213,0.9865,0.85953,0.61427,0.23675,0.98005,7.43036e-05,7.43036e-05,7.43036e-05
94,2692.08,0.48223,0.22069,0.93206,0.99336,0.9827,0.98717,0.86894,0.59656,0.23347,0.97369,6.60569e-05,6.60569e-05,6.60569e-05
95,2720.05,0.472,0.21776,0.93428,0.9933,0.98231,0.98736,0.86683,0.60634,0.23155,0.97584,5.78102e-05,5.78102e-05,5.78102e-05
96,2748.06,0.4689,0.21469,0.92322,0.99424,0.98165,0.98778,0.86547,0.6176,0.23273,0.98228,4.95635e-05,4.95635e-05,4.95635e-05
97,2775.99,0.46847,0.21237,0.92966,0.99424,0.98304,0.98786,0.86897,0.60365,0.22976,0.9775,4.13168e-05,4.13168e-05,4.13168e-05
98,2803.92,0.47143,0.21454,0.92725,0.99442,0.98303,0.98821,0.87449,0.58311,0.22587,0.96984,3.30701e-05,3.30701e-05,3.30701e-05
99,2831.87,0.45302,0.21131,0.92188,0.99405,0.98315,0.98828,0.87164,0.60226,0.22752,0.97628,2.48234e-05,2.48234e-05,2.48234e-05
100,2859.79,0.4645,0.21193,0.92372,0.9939,0.98339,0.98852,0.87547,0.58917,0.22476,0.97349,1.65767e-05,1.65767e-05,1.65767e-05
