epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.4848,2.03226,5.70582,1.91359,0.00972,0.9838,0.1956,0.07978,1.59214,3.39355,1.4543,0.000233966,0.000233966,0.000233966
2,46.4051,1.79246,4.77799,1.65328,0.12373,0.36088,0.20191,0.08297,1.84308,2.62705,1.64092,0.000425241,0.000425241,0.000425241
3,60.6789,1.82142,4.36905,1.5996,0.29382,0.37793,0.22998,0.0694,2.10634,2.85663,1.90232,0.000569393,0.000569393,0.000569393
4,72.6935,1.80515,3.89209,1.56686,0.24379,0.42551,0.3388,0.13621,1.80761,2.51488,1.58456,0.000501942,0.000501942,0.000501942
5,84.5128,1.75431,3.60918,1.54219,0.32569,0.60555,0.45779,0.21137,1.74631,2.10751,1.4925,0.000431256,0.000431256,0.000431256
6,96.2747,1.72892,3.19964,1.5045,0.32729,0.65838,0.45111,0.20683,1.77577,1.93882,1.48621,0.00036057,0.00036057,0.00036057
7,108.004,1.70657,2.98054,1.46374,0.35021,0.7374,0.49802,0.24417,1.65159,1.80451,1.39007,0.000289884,0.000289884,0.000289884
8,119.76,1.67258,2.79179,1.43533,0.43899,0.6625,0.55638,0.25817,1.70849,1.65513,1.43315,0.000219198,0.000219198,0.000219198
9,131.512,1.65442,2.68456,1.42359,0.43325,0.71203,0.58668,0.28328,1.65473,1.61866,1.38802,0.000148512,0.000148512,0.000148512
10,143.291,1.63884,2.56646,1.39821,0.46226,0.70118,0.58984,0.29014,1.66822,1.55193,1.39003,7.7826e-05,7.7826e-05,7.7826e-05
