epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.9962,0.67404,0.29818,1.05341,0.98883,0.98242,0.9857,0.82213,0.72262,0.27533,1.03168,0.000275372,0.000275372,0.000275372
2,72.6879,0.68724,0.3063,1.04892,0.98655,0.98137,0.98599,0.81748,0.74745,0.29689,1.03798,0.000498288,0.000498288,0.000498288
3,100.01,0.69377,0.31749,1.05399,0.97035,0.96348,0.98292,0.81426,0.75059,0.33491,1.02277,0.000666226,0.000666226,0.000666226
4,127.782,0.70726,0.33027,1.06458,0.9859,0.9774,0.98552,0.82317,0.73515,0.30986,1.04341,0.000585599,0.000585599,0.000585599
5,155.315,0.6942,0.32336,1.05353,0.9851,0.97785,0.98682,0.83766,0.6904,0.29389,1.00731,0.000503132,0.000503132,0.000503132
6,183.036,0.68305,0.30237,1.04093,0.9887,0.98293,0.9881,0.84217,0.7039,0.2805,1.0159,0.000420665,0.000420665,0.000420665
7,210.846,0.66163,0.29445,1.03032,0.99101,0.98223,0.98757,0.84141,0.68434,0.27565,1.01557,0.000338198,0.000338198,0.000338198
8,238.697,0.63499,0.28639,1.02217,0.98715,0.98166,0.98737,0.84192,0.67382,0.2733,1.02241,0.000255731,0.000255731,0.000255731
9,266.698,0.61256,0.27446,1.01081,0.98894,0.98092,0.98834,0.85115,0.67367,0.26035,1.01509,0.000173264,0.000173264,0.000173264
10,294.869,0.60382,0.2713,1.00939,0.98848,0.97932,0.98635,0.85383,0.66027,0.25686,1.00777,9.0797e-05,9.0797e-05,9.0797e-05
