epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,28.5747,0.2319,0.86834,0.98746,0.88474,0.000194469,0.000194469,0.000194469
2,44.3252,0.20457,0.87147,0.98119,0.99958,0.000382737,0.000382737,0.000382737
3,60.7005,0.25264,0.88715,0.98433,0.73634,0.000563245,0.000563245,0.000563245
4,76.8125,0.31591,0.84953,0.98433,0.88849,0.000553073,0.000553073,0.000553073
5,93.0244,0.33667,0.84953,0.97492,1.03672,0.00054143,0.00054143,0.00054143
6,109.248,0.34862,0.83386,0.98119,1.07519,0.000529788,0.000529788,0.000529788
7,125.533,0.35583,0.8652,0.98746,0.8087,0.000518146,0.000518146,0.000518146
8,141.762,0.30457,0.88401,0.98119,0.77814,0.000506503,0.000506503,0.000506503
9,157.999,0.30199,0.87774,0.9906,0.81182,0.000494861,0.000494861,0.000494861
10,174.381,0.34326,0.89028,0.99373,0.81729,0.000483218,0.000483218,0.000483218
11,190.923,0.28363,0.86834,0.97806,0.8174,0.000471576,0.000471576,0.000471576
12,207.294,0.31869,0.83699,0.98433,0.94298,0.000459934,0.000459934,0.000459934
13,223.737,0.29983,0.8652,0.97492,0.89069,0.000448291,0.000448291,0.000448291
14,240.255,0.32931,0.87774,0.97806,0.82852,0.000436649,0.000436649,0.000436649
15,256.838,0.28544,0.87774,0.97492,0.81311,0.000425006,0.000425006,0.000425006
16,273.327,0.31013,0.87147,0.97492,0.84997,0.000413364,0.000413364,0.000413364
17,289.84,0.27879,0.89655,0.97492,0.77485,0.000401722,0.000401722,0.000401722
18,306.437,0.27759,0.88401,0.98119,0.82086,0.000390079,0.000390079,0.000390079
19,323.022,0.28565,0.86207,0.97806,0.83239,0.000378437,0.000378437,0.000378437
20,345.327,0.28406,0.86834,0.98119,0.82777,0.000366794,0.000366794,0.000366794
21,366.651,0.28965,0.88401,0.98433,0.84494,0.000355152,0.000355152,0.000355152
22,385.573,0.30782,0.88088,0.98433,0.73916,0.00034351,0.00034351,0.00034351
23,401.761,0.24088,0.87774,0.97806,0.85207,0.000331867,0.000331867,0.000331867
24,418.105,0.25655,0.87461,0.99373,0.80633,0.000320225,0.000320225,0.000320225
25,434.431,0.24656,0.87461,0.98119,0.75044,0.000308582,0.000308582,0.000308582
26,450.901,0.2491,0.87147,0.97492,0.80591,0.00029694,0.00029694,0.00029694
27,467.384,0.24904,0.88401,0.97492,0.85015,0.000285298,0.000285298,0.000285298
28,483.773,0.28035,0.88088,0.97492,0.78947,0.000273655,0.000273655,0.000273655
29,500.141,0.25938,0.88401,0.98119,0.76695,0.000262013,0.000262013,0.000262013
30,516.669,0.25245,0.86207,0.98119,0.77104,0.00025037,0.00025037,0.00025037
31,533.149,0.24531,0.89969,0.98433,0.67319,0.000238728,0.000238728,0.000238728
32,549.908,0.25859,0.88401,0.98746,0.72192,0.000227086,0.000227086,0.000227086
33,566.633,0.2446,0.89342,0.9906,0.71029,0.000215443,0.000215443,0.000215443
34,583.137,0.27055,0.88088,0.97806,0.80419,0.000203801,0.000203801,0.000203801
35,599.531,0.23392,0.87461,0.98746,0.78342,0.000192158,0.000192158,0.000192158
36,616.077,0.26684,0.88088,0.98433,0.7973,0.000180516,0.000180516,0.000180516
37,632.727,0.23108,0.88401,0.98746,0.7174,0.000168874,0.000168874,0.000168874
38,649.32,0.22392,0.88715,0.98746,0.75022,0.000157231,0.000157231,0.000157231
39,666.137,0.2414,0.88088,0.98119,0.79057,0.000145589,0.000145589,0.000145589
40,682.692,0.25442,0.88088,0.98746,0.78258,0.000133946,0.000133946,0.000133946
41,701.943,0.25898,0.89342,0.98433,0.72744,0.000122304,0.000122304,0.000122304
42,718.281,0.24913,0.89655,0.99373,0.70137,0.000110662,0.000110662,0.000110662
43,734.752,0.25591,0.88715,0.99373,0.72573,9.90192e-05,9.90192e-05,9.90192e-05
44,751.154,0.29175,0.88088,0.99687,0.72052,8.73768e-05,8.73768e-05,8.73768e-05
45,767.636,0.27011,0.88715,0.98119,0.73495,7.57344e-05,7.57344e-05,7.57344e-05
46,784.121,0.29029,0.88715,0.98433,0.72345,6.4092e-05,6.4092e-05,6.4092e-05
47,800.487,0.31407,0.88088,0.98746,0.71542,5.24496e-05,5.24496e-05,5.24496e-05
48,816.869,0.25906,0.89342,0.98746,0.70473,4.08072e-05,4.08072e-05,4.08072e-05
49,833.341,0.26185,0.89028,0.98746,0.70439,2.91648e-05,2.91648e-05,2.91648e-05
50,854.913,0.35179,0.89028,0.98746,0.69312,1.75224e-05,1.75224e-05,1.75224e-05
