epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,25.5168,0.41496,0.7837,0.98746,0.98272,0.000194469,0.000194469,0.000194469
2,40.6418,0.50803,0.75862,0.99687,1.06807,0.000388536,0.000388536,0.000388536
3,56.1125,0.55088,0.77116,0.9906,1.10909,0.000580663,0.000580663,0.000580663
4,71.81,0.60359,0.72727,0.98433,1.30734,0.000579268,0.000579268,0.000579268
5,87.6672,0.61481,0.73668,0.98119,1.12381,0.000576358,0.000576358,0.000576358
6,103.675,0.64119,0.7931,0.99373,0.84764,0.000573447,0.000573447,0.000573447
7,119.804,0.68311,0.75235,0.9906,1.1264,0.000570536,0.000570536,0.000570536
8,135.875,0.61877,0.75862,0.98433,1.10651,0.000567626,0.000567626,0.000567626
9,151.957,0.66624,0.77116,0.98119,1.02904,0.000564715,0.000564715,0.000564715
10,168.21,0.6091,0.72727,0.98746,1.21649,0.000561805,0.000561805,0.000561805
11,184.472,0.63163,0.75235,0.9906,1.02612,0.000558894,0.000558894,0.000558894
12,200.705,0.64882,0.73981,0.9906,0.99222,0.000555983,0.000555983,0.000555983
13,217.043,0.62529,0.73981,0.9906,1.01465,0.000553073,0.000553073,0.000553073
14,233.451,0.58302,0.7116,0.98119,1.15575,0.000550162,0.000550162,0.000550162
15,249.647,0.60404,0.74295,0.98119,1.1138,0.000547252,0.000547252,0.000547252
16,265.907,0.62217,0.75862,0.99373,1.02819,0.000544341,0.000544341,0.000544341
17,282.286,0.62395,0.76803,0.9906,0.94416,0.00054143,0.00054143,0.00054143
18,298.564,0.58574,0.78056,0.98433,0.98868,0.00053852,0.00053852,0.00053852
19,314.881,0.57929,0.80878,0.99373,0.86593,0.000535609,0.000535609,0.000535609
20,331.35,0.56758,0.75235,0.97806,1.02943,0.000532699,0.000532699,0.000532699
21,347.733,0.62145,0.80564,0.99373,1.03468,0.000529788,0.000529788,0.000529788
22,364.148,0.54402,0.77429,0.98746,1.11259,0.000526877,0.000526877,0.000526877
23,380.413,0.55815,0.77116,0.99687,1.10977,0.000523967,0.000523967,0.000523967
24,396.676,0.56351,0.77116,0.99687,1.00852,0.000521056,0.000521056,0.000521056
25,412.952,0.61194,0.77116,0.9906,1.07896,0.000518146,0.000518146,0.000518146
26,429.235,0.58729,0.80878,0.99373,0.8616,0.000515235,0.000515235,0.000515235
27,445.806,0.60092,0.80878,0.99373,0.97925,0.000512324,0.000512324,0.000512324
28,462.267,0.59854,0.82445,0.98119,0.9147,0.000509414,0.000509414,0.000509414
29,478.854,0.56336,0.77116,0.98433,0.98207,0.000506503,0.000506503,0.000506503
30,495.429,0.57731,0.77116,0.99687,1.05316,0.000503593,0.000503593,0.000503593
31,512.084,0.6177,0.74922,0.98746,1.06461,0.000500682,0.000500682,0.000500682
32,528.567,0.59245,0.77743,0.99373,0.93565,0.000497771,0.000497771,0.000497771
33,545.015,0.55718,0.75235,0.99373,1.19186,0.000494861,0.000494861,0.000494861
34,561.483,0.59966,0.77116,0.9906,1.07146,0.00049195,0.00049195,0.00049195
35,578.008,0.57091,0.79937,0.99373,1.03926,0.00048904,0.00048904,0.00048904
36,594.583,0.5202,0.79624,0.98746,0.92462,0.000486129,0.000486129,0.000486129
37,611.271,0.5272,0.78997,0.99373,0.94452,0.000483218,0.000483218,0.000483218
38,627.769,0.51045,0.77116,0.99687,0.98795,0.000480308,0.000480308,0.000480308
39,644.199,0.55916,0.74922,0.98433,1.14372,0.000477397,0.000477397,0.000477397
40,660.589,0.59563,0.78997,0.97806,1.07892,0.000474487,0.000474487,0.000474487
41,682.032,0.53574,0.80251,0.9906,0.9631,0.000471576,0.000471576,0.000471576
42,703.273,0.53219,0.80564,0.99687,0.9025,0.000468665,0.000468665,0.000468665
43,720.691,0.5578,0.78683,0.98746,0.95911,0.000465755,0.000465755,0.000465755
44,737.06,0.54863,0.80251,0.98746,0.95093,0.000462844,0.000462844,0.000462844
45,753.555,0.56729,0.81191,0.9906,0.88589,0.000459934,0.000459934,0.000459934
46,769.911,0.54107,0.7837,1,1.06117,0.000457023,0.000457023,0.000457023
47,786.366,0.53704,0.78997,0.99373,0.91635,0.000454112,0.000454112,0.000454112
48,802.764,0.52618,0.76489,0.98746,1.05586,0.000451202,0.000451202,0.000451202
49,819.231,0.53657,0.76176,0.99687,1.03731,0.000448291,0.000448291,0.000448291
50,835.777,0.52961,0.76803,0.98433,1.03554,0.000445381,0.000445381,0.000445381
51,852.283,0.53307,0.78683,0.97806,0.96167,0.00044247,0.00044247,0.00044247
52,870.545,0.5317,0.77743,0.98433,0.93431,0.000439559,0.000439559,0.000439559
53,891.794,0.53998,0.77743,0.9906,1.05804,0.000436649,0.000436649,0.000436649
54,912.618,0.53196,0.75235,0.9906,0.98634,0.000433738,0.000433738,0.000433738
55,928.693,0.55081,0.7931,0.97806,0.88545,0.000430828,0.000430828,0.000430828
56,945.085,0.49706,0.78683,0.99373,0.88976,0.000427917,0.000427917,0.000427917
57,961.462,0.48315,0.75235,0.97806,0.97609,0.000425006,0.000425006,0.000425006
58,977.903,0.57302,0.7837,0.99373,0.9884,0.000422096,0.000422096,0.000422096
59,994.336,0.51897,0.7931,0.98746,0.88828,0.000419185,0.000419185,0.000419185
60,1010.67,0.54551,0.81191,0.97492,0.93079,0.000416275,0.000416275,0.000416275
61,1027.12,0.45103,0.80251,0.99687,0.95296,0.000413364,0.000413364,0.000413364
62,1043.3,0.51885,0.76803,0.9906,0.97733,0.000410453,0.000410453,0.000410453
63,1059.6,0.48003,0.7931,0.99373,0.9536,0.000407543,0.000407543,0.000407543
64,1076.01,0.48485,0.79937,0.9906,0.96936,0.000404632,0.000404632,0.000404632
65,1092.48,0.5107,0.7931,0.99687,0.96709,0.000401722,0.000401722,0.000401722
66,1109.07,0.52805,0.78997,0.98119,1.03737,0.000398811,0.000398811,0.000398811
67,1125.6,0.48807,0.80251,0.98746,0.98151,0.0003959,0.0003959,0.0003959
68,1142.31,0.51861,0.78056,0.98433,1.05437,0.00039299,0.00039299,0.00039299
69,1158.88,0.51246,0.79624,0.97806,0.93523,0.000390079,0.000390079,0.000390079
70,1175.47,0.5176,0.79624,0.99687,1.0215,0.000387169,0.000387169,0.000387169
71,1192,0.4763,0.84639,0.99373,0.78706,0.000384258,0.000384258,0.000384258
72,1208.54,0.46167,0.80878,0.98119,0.88722,0.000381347,0.000381347,0.000381347
73,1225.08,0.45306,0.79937,0.98433,0.95903,0.000378437,0.000378437,0.000378437
74,1241.8,0.45693,0.79624,0.99687,1.00784,0.000375526,0.000375526,0.000375526
75,1258.36,0.53881,0.80251,0.99373,0.91556,0.000372616,0.000372616,0.000372616
76,1275.02,0.51756,0.80878,0.98746,0.94514,0.000369705,0.000369705,0.000369705
77,1291.56,0.41163,0.81505,0.99373,0.99031,0.000366794,0.000366794,0.000366794
78,1308.11,0.53202,0.80251,0.98746,1.01271,0.000363884,0.000363884,0.000363884
79,1324.78,0.47527,0.7931,0.98746,1.06161,0.000360973,0.000360973,0.000360973
80,1341.43,0.47969,0.78997,0.98119,1.0084,0.000358063,0.000358063,0.000358063
81,1357.97,0.4906,0.78997,0.97492,0.90884,0.000355152,0.000355152,0.000355152
82,1374.45,0.44492,0.78056,0.98433,0.96596,0.000352241,0.000352241,0.000352241
83,1390.95,0.45649,0.78997,0.97806,0.98454,0.000349331,0.000349331,0.000349331
84,1407.61,0.45109,0.76803,0.97806,1.06909,0.00034642,0.00034642,0.00034642
85,1424.14,0.51262,0.78997,0.98746,1.07184,0.00034351,0.00034351,0.00034351
86,1440.92,0.53365,0.79624,0.98119,1.12787,0.000340599,0.000340599,0.000340599
87,1457.48,0.49532,0.76489,0.98746,1.10461,0.000337688,0.000337688,0.000337688
88,1474.05,0.47944,0.76803,0.98119,1.06895,0.000334778,0.000334778,0.000334778
89,1490.7,0.47438,0.77429,0.97806,0.93002,0.000331867,0.000331867,0.000331867
90,1507.1,0.46781,0.77116,0.98746,0.97893,0.000328957,0.000328957,0.000328957
91,1523.83,0.4448,0.78997,0.9906,0.98309,0.000326046,0.000326046,0.000326046
92,1540.45,0.41483,0.78683,0.98746,1.06171,0.000323135,0.000323135,0.000323135
93,1557.03,0.44867,0.7931,0.98119,1.01778,0.000320225,0.000320225,0.000320225
94,1573.67,0.4157,0.81818,0.98119,1.08799,0.000317314,0.000317314,0.000317314
95,1590.15,0.46871,0.80251,0.98433,1.00409,0.000314404,0.000314404,0.000314404
96,1606.75,0.50092,0.82445,0.98119,0.95451,0.000311493,0.000311493,0.000311493
97,1623.41,0.43192,0.81191,0.9906,0.87635,0.000308582,0.000308582,0.000308582
98,1639.88,0.42759,0.82132,0.9906,0.97748,0.000305672,0.000305672,0.000305672
99,1656.41,0.42622,0.7931,0.98433,1.01756,0.000302761,0.000302761,0.000302761
100,1673,0.457,0.82132,0.9906,0.97352,0.000299851,0.000299851,0.000299851
101,1689.45,0.42509,0.82132,0.98746,0.96937,0.00029694,0.00029694,0.00029694
102,1705.79,0.42542,0.80878,0.98433,0.98831,0.000294029,0.000294029,0.000294029
103,1722.41,0.3974,0.79937,0.9906,1.07129,0.000291119,0.000291119,0.000291119
104,1738.87,0.47891,0.82132,0.98433,1.01955,0.000288208,0.000288208,0.000288208
105,1755.25,0.4625,0.81191,0.98746,0.89055,0.000285298,0.000285298,0.000285298
106,1771.62,0.45005,0.80878,0.98433,0.94411,0.000282387,0.000282387,0.000282387
107,1788.14,0.41412,0.80564,0.98746,1.02309,0.000279476,0.000279476,0.000279476
108,1804.85,0.43375,0.81505,0.98433,1.05615,0.000276566,0.000276566,0.000276566
109,1821.15,0.43627,0.7931,0.98433,0.9819,0.000273655,0.000273655,0.000273655
110,1837.89,0.39323,0.80878,0.98746,0.94926,0.000270745,0.000270745,0.000270745
111,1854.66,0.45275,0.7931,0.9906,1.08161,0.000267834,0.000267834,0.000267834
112,1871.07,0.4468,0.81191,0.98433,0.9964,0.000264923,0.000264923,0.000264923
113,1887.6,0.47212,0.80251,0.98433,1.00175,0.000262013,0.000262013,0.000262013
114,1904.35,0.3995,0.79624,0.98433,1.02082,0.000259102,0.000259102,0.000259102
115,1920.9,0.40764,0.79624,0.98119,0.93311,0.000256192,0.000256192,0.000256192
116,1937.23,0.43476,0.77743,0.98119,0.9553,0.000253281,0.000253281,0.000253281
117,1953.79,0.3958,0.7931,0.98119,0.88109,0.00025037,0.00025037,0.00025037
118,1970.35,0.38742,0.79624,0.98433,0.94743,0.00024746,0.00024746,0.00024746
119,1986.92,0.42412,0.80878,0.98746,0.9221,0.000244549,0.000244549,0.000244549
120,2003.36,0.43239,0.78997,0.98119,0.9809,0.000241639,0.000241639,0.000241639
121,2019.87,0.44361,0.80878,0.99373,0.91267,0.000238728,0.000238728,0.000238728
122,2036.48,0.45802,0.7837,0.99373,0.92641,0.000235817,0.000235817,0.000235817
123,2052.91,0.42211,0.7931,0.98746,0.9181,0.000232907,0.000232907,0.000232907
124,2069.28,0.41899,0.80251,0.99373,0.8883,0.000229996,0.000229996,0.000229996
125,2085.65,0.43095,0.80878,0.9906,0.91458,0.000227086,0.000227086,0.000227086
126,2102.14,0.37665,0.80251,0.98746,0.96107,0.000224175,0.000224175,0.000224175
127,2118.66,0.39633,0.78997,0.98746,1.03727,0.000221264,0.000221264,0.000221264
128,2135.22,0.39995,0.7931,0.98433,0.97684,0.000218354,0.000218354,0.000218354
129,2151.78,0.39162,0.78997,0.99373,1.00182,0.000215443,0.000215443,0.000215443
130,2168.42,0.38579,0.80878,0.98746,1.00735,0.000212533,0.000212533,0.000212533
131,2184.78,0.37861,0.79937,0.98119,0.93169,0.000209622,0.000209622,0.000209622
132,2201.36,0.47199,0.80878,0.98119,1.01393,0.000206711,0.000206711,0.000206711
133,2217.91,0.37238,0.78056,0.9906,1.0309,0.000203801,0.000203801,0.000203801
134,2234.43,0.41038,0.80564,0.98119,1.06407,0.00020089,0.00020089,0.00020089
135,2250.82,0.37541,0.77743,0.98433,1.0701,0.00019798,0.00019798,0.00019798
136,2267.27,0.41822,0.81505,0.9906,0.9825,0.000195069,0.000195069,0.000195069
137,2283.75,0.39261,0.7931,0.98433,0.98933,0.000192158,0.000192158,0.000192158
138,2300.2,0.42275,0.81505,0.99373,0.94374,0.000189248,0.000189248,0.000189248
139,2316.73,0.39419,0.79937,0.98746,1.06282,0.000186337,0.000186337,0.000186337
140,2333.38,0.41414,0.7837,0.98433,1.06021,0.000183427,0.000183427,0.000183427
141,2350.04,0.37612,0.7931,0.98746,1.05813,0.000180516,0.000180516,0.000180516
142,2366.71,0.42025,0.79937,0.9906,1.00749,0.000177605,0.000177605,0.000177605
143,2383.22,0.36499,0.79624,0.9906,1.04963,0.000174695,0.000174695,0.000174695
144,2399.76,0.33555,0.81505,0.9906,0.94994,0.000171784,0.000171784,0.000171784
145,2416.25,0.38994,0.78997,0.99373,1.01022,0.000168874,0.000168874,0.000168874
146,2432.8,0.40411,0.77743,0.98746,1.03232,0.000165963,0.000165963,0.000165963
147,2449.53,0.36288,0.77429,0.98746,1.03864,0.000163052,0.000163052,0.000163052
148,2466.21,0.38178,0.7837,0.9906,1.04089,0.000160142,0.000160142,0.000160142
149,2482.77,0.38665,0.79937,0.98746,0.98304,0.000157231,0.000157231,0.000157231
150,2504.39,0.36729,0.77743,0.98746,1.07115,0.000154321,0.000154321,0.000154321
151,2525.64,0.43006,0.76176,0.99373,1.03198,0.00015141,0.00015141,0.00015141
152,2545.48,0.37851,0.80251,0.99373,0.90982,0.000148499,0.000148499,0.000148499
153,2561.88,0.4047,0.79624,0.99373,0.88681,0.000145589,0.000145589,0.000145589
154,2578.36,0.37941,0.80564,0.99373,0.89897,0.000142678,0.000142678,0.000142678
155,2594.69,0.37201,0.79937,0.99687,0.94709,0.000139768,0.000139768,0.000139768
156,2610.82,0.36862,0.80251,0.99373,0.98316,0.000136857,0.000136857,0.000136857
157,2627.11,0.3392,0.7931,0.99373,0.94343,0.000133946,0.000133946,0.000133946
158,2643.54,0.34482,0.7931,0.99373,0.95798,0.000131036,0.000131036,0.000131036
159,2660.11,0.32513,0.7931,0.99373,0.95062,0.000128125,0.000128125,0.000128125
160,2676.51,0.35663,0.79937,0.9906,0.99693,0.000125215,0.000125215,0.000125215
161,2692.91,0.34871,0.79937,0.99373,0.93066,0.000122304,0.000122304,0.000122304
162,2709.36,0.34407,0.78056,0.9906,0.98913,0.000119393,0.000119393,0.000119393
163,2726.02,0.36023,0.7931,0.98746,1.00043,0.000116483,0.000116483,0.000116483
164,2742.67,0.36934,0.7837,0.98746,1.05396,0.000113572,0.000113572,0.000113572
165,2759.44,0.33595,0.7837,0.98746,1.06007,0.000110662,0.000110662,0.000110662
166,2776.07,0.31606,0.79624,0.98433,1.05013,0.000107751,0.000107751,0.000107751
167,2792.8,0.32765,0.7931,0.98746,1.03188,0.00010484,0.00010484,0.00010484
168,2809.6,0.30776,0.80878,0.9906,1.01135,0.00010193,0.00010193,0.00010193
169,2826.24,0.35624,0.80251,0.99373,0.99507,9.90192e-05,9.90192e-05,9.90192e-05
170,2842.8,0.37605,0.7837,0.98433,1.03899,9.61086e-05,9.61086e-05,9.61086e-05
171,2859.24,0.34308,0.79624,0.98746,0.99081,9.3198e-05,9.3198e-05,9.3198e-05
