epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.6859,1.4182,1.33764,1.29893,0.74175,0.76383,0.80583,0.45326,1.55422,1.11895,1.40036,0.000232936,0.000232936,0.000232936
2,29.2854,1.56823,1.53476,1.36919,0.67298,0.77252,0.75103,0.39277,1.5749,1.2717,1.41428,0.000461612,0.000461612,0.000461612
3,38.7255,1.5867,1.54962,1.37176,0.65021,0.7265,0.75008,0.39685,1.58888,1.23589,1.40809,0.000680862,0.000680862,0.000680862
4,48.2581,1.58877,1.55951,1.40301,0.65186,0.75909,0.72224,0.38053,1.6099,1.28258,1.4494,0.000671588,0.000671588,0.000671588
5,57.5699,1.61025,1.56244,1.417,0.66371,0.69508,0.73221,0.37355,1.6697,1.26339,1.44385,0.000657451,0.000657451,0.000657451
6,66.8504,1.59682,1.55245,1.40121,0.54126,0.70532,0.65037,0.32251,1.67976,1.44938,1.45144,0.000643314,0.000643314,0.000643314
7,76.1212,1.56576,1.55038,1.37602,0.60678,0.63335,0.66737,0.33273,1.69424,1.39685,1.48382,0.000629177,0.000629177,0.000629177
8,85.4851,1.60942,1.5612,1.38821,0.6538,0.76261,0.75284,0.40031,1.61545,1.29579,1.42325,0.00061504,0.00061504,0.00061504
9,94.8044,1.55399,1.50686,1.36823,0.66545,0.73716,0.75189,0.41323,1.63628,1.24137,1.44745,0.000600902,0.000600902,0.000600902
10,104.177,1.53585,1.48976,1.36437,0.64506,0.75988,0.75796,0.39133,1.67702,1.21043,1.46791,0.000586765,0.000586765,0.000586765
11,113.548,1.55484,1.44418,1.35893,0.75057,0.79983,0.81814,0.41245,1.66466,1.16852,1.45414,0.000572628,0.000572628,0.000572628
12,122.925,1.52485,1.43996,1.34936,0.64505,0.74275,0.7216,0.34873,1.69957,1.31272,1.48504,0.000558491,0.000558491,0.000558491
13,132.339,1.53472,1.40826,1.35636,0.69495,0.74046,0.76669,0.37792,1.73076,1.18824,1.48855,0.000544354,0.000544354,0.000544354
14,141.816,1.55417,1.40387,1.35781,0.66333,0.7805,0.7977,0.41392,1.62548,1.20645,1.42906,0.000530216,0.000530216,0.000530216
15,151.304,1.52297,1.42278,1.35622,0.69732,0.75937,0.7891,0.41141,1.63352,1.1412,1.39703,0.000516079,0.000516079,0.000516079
16,160.744,1.50943,1.34435,1.32445,0.69836,0.7944,0.79913,0.40813,1.67993,1.14622,1.4506,0.000501942,0.000501942,0.000501942
17,170.19,1.4729,1.32552,1.32248,0.6007,0.80695,0.77255,0.39201,1.68618,1.19201,1.44318,0.000487805,0.000487805,0.000487805
18,179.635,1.48608,1.29081,1.30871,0.6266,0.71986,0.73797,0.37995,1.65847,1.29087,1.41644,0.000473668,0.000473668,0.000473668
19,189.086,1.48353,1.34267,1.31632,0.72938,0.74334,0.81727,0.41515,1.66557,1.13678,1.43441,0.00045953,0.00045953,0.00045953
20,198.545,1.47854,1.24958,1.31422,0.64886,0.80297,0.81387,0.43098,1.65894,1.09172,1.4218,0.000445393,0.000445393,0.000445393
21,208.067,1.48215,1.28499,1.30963,0.76935,0.80561,0.85726,0.4686,1.60061,1.04852,1.39256,0.000431256,0.000431256,0.000431256
22,217.655,1.45925,1.2496,1.30738,0.76717,0.73167,0.8133,0.43498,1.60031,1.1102,1.40607,0.000417119,0.000417119,0.000417119
23,227.098,1.47175,1.24471,1.30026,0.71981,0.81279,0.81617,0.4338,1.65451,1.08324,1.38692,0.000402982,0.000402982,0.000402982
24,236.642,1.4571,1.22081,1.28824,0.75061,0.77334,0.81577,0.43017,1.6677,1.07732,1.42617,0.000388844,0.000388844,0.000388844
25,246.203,1.44332,1.22971,1.2933,0.7273,0.77591,0.83967,0.44716,1.65523,1.08656,1.42354,0.000374707,0.000374707,0.000374707
26,255.766,1.42515,1.22847,1.3063,0.72116,0.72451,0.79731,0.42674,1.65141,1.15907,1.41833,0.00036057,0.00036057,0.00036057
27,265.316,1.42185,1.24269,1.29259,0.72995,0.84451,0.85078,0.45953,1.60113,1.02734,1.39449,0.000346433,0.000346433,0.000346433
28,274.928,1.42493,1.21427,1.28521,0.71202,0.79524,0.834,0.42544,1.68099,1.08408,1.4286,0.000332296,0.000332296,0.000332296
29,284.505,1.38891,1.14849,1.26477,0.72418,0.79374,0.82472,0.43931,1.61461,1.07707,1.40384,0.000318158,0.000318158,0.000318158
30,294.074,1.38171,1.141,1.27009,0.69165,0.7928,0.82003,0.44262,1.65695,1.07458,1.43623,0.000304021,0.000304021,0.000304021
31,303.592,1.37313,1.11878,1.27325,0.67418,0.83469,0.83517,0.45961,1.59671,1.04773,1.40476,0.000289884,0.000289884,0.000289884
32,313.15,1.37711,1.16629,1.25844,0.79444,0.74945,0.85169,0.4703,1.58731,1.0341,1.39683,0.000275747,0.000275747,0.000275747
33,322.729,1.32349,1.06434,1.21501,0.72034,0.81633,0.83297,0.44412,1.64287,1.06195,1.41859,0.00026161,0.00026161,0.00026161
34,332.313,1.34935,1.06891,1.238,0.80113,0.80491,0.85196,0.45231,1.63544,1.01174,1.42066,0.000247472,0.000247472,0.000247472
35,341.895,1.33517,1.08735,1.22523,0.76469,0.80466,0.85602,0.46215,1.63884,0.98697,1.40459,0.000233335,0.000233335,0.000233335
36,351.437,1.28148,1.04891,1.21336,0.70774,0.8417,0.84421,0.44654,1.64473,1.00943,1.42867,0.000219198,0.000219198,0.000219198
37,361.014,1.33292,1.05107,1.23621,0.69603,0.84895,0.8291,0.4536,1.64354,1.02787,1.40657,0.000205061,0.000205061,0.000205061
38,370.564,1.29821,1.04934,1.20741,0.71215,0.84853,0.84758,0.46372,1.63161,0.97367,1.40815,0.000190924,0.000190924,0.000190924
39,380.093,1.30651,1.05054,1.22661,0.77298,0.77834,0.84468,0.46349,1.6432,0.97287,1.41088,0.000176786,0.000176786,0.000176786
