epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.9615,1.53514,1.36914,1.39265,0.74573,0.72898,0.79821,0.43507,1.57709,1.09208,1.40429,0.000233333,0.000233333,0.000233333
2,38.0913,1.56039,1.42179,1.38798,0.54584,0.69451,0.62725,0.3025,1.66321,1.4099,1.4257,0.000424671,0.000424671,0.000424671
3,48.026,1.58798,1.45766,1.3977,0.60231,0.74203,0.75479,0.40706,1.61384,1.26581,1.3823,0.000568885,0.000568885,0.000568885
4,58.1147,1.58377,1.38286,1.41747,0.60855,0.72546,0.70795,0.3543,1.66775,1.30343,1.47117,0.000501942,0.000501942,0.000501942
5,68.5237,1.5873,1.40846,1.40158,0.66213,0.678,0.71177,0.38227,1.58795,1.4247,1.42224,0.000431256,0.000431256,0.000431256
