epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.9905,1.22296,0.73456,1.17248,0.77449,0.84733,0.84931,0.46775,1.62497,0.984,1.41096,0.000233333,0.000233333,0.000233333
2,38.9153,1.32759,0.86984,1.23366,0.74841,0.80599,0.84754,0.44985,1.65003,1.01948,1.44352,0.000424671,0.000424671,0.000424671
3,49.193,1.37139,0.91566,1.26891,0.79544,0.73394,0.8324,0.4213,1.74118,1.03952,1.4911,0.000568885,0.000568885,0.000568885
4,59.2033,1.39467,0.94234,1.26727,0.76056,0.80396,0.82125,0.41587,1.69082,1.08808,1.4705,0.000501942,0.000501942,0.000501942
5,69.3247,1.36671,0.98009,1.25874,0.74006,0.79717,0.81497,0.42848,1.61507,1.10312,1.44949,0.000431256,0.000431256,0.000431256
6,79.4428,1.34015,0.89794,1.24649,0.71018,0.83712,0.82053,0.42989,1.64237,1.08796,1.42492,0.00036057,0.00036057,0.00036057
7,89.6191,1.31684,0.83709,1.23959,0.80555,0.81129,0.8509,0.45513,1.62521,0.96488,1.39508,0.000289884,0.000289884,0.000289884
8,99.9247,1.23792,0.78914,1.19378,0.75478,0.82885,0.8529,0.45683,1.64772,0.97816,1.42518,0.000219198,0.000219198,0.000219198
9,110.522,1.22329,0.75536,1.18694,0.80916,0.83422,0.88754,0.47682,1.61465,0.9456,1.40386,0.000148512,0.000148512,0.000148512
10,120.745,1.20871,0.72593,1.18044,0.76077,0.85585,0.86607,0.4705,1.63892,0.93704,1.42917,7.7826e-05,7.7826e-05,7.7826e-05
