epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.0803,1.57216,3.83223,1.59489,0.00492,1,0.27718,0.15896,1.17711,3.02726,1.21395,0.000274013,0.000274013,0.000274013
2,42.1036,1.26919,2.76172,1.35268,0.5153,0.80591,0.6446,0.3945,1.3358,1.68609,1.33096,0.000549859,0.000549859,0.000549859
3,56.0052,1.23806,2.34936,1.32002,0.50034,0.78699,0.63258,0.41975,1.22793,1.5024,1.23045,0.000823873,0.000823873,0.000823873
4,69.8622,1.20286,2.0809,1.27682,0.59533,0.92556,0.75268,0.5303,1.06956,1.44769,1.17211,0.000824753,0.000824753,0.000824753
5,83.7133,1.16491,1.86161,1.23212,0.58219,0.79025,0.75207,0.61883,0.69077,1.13031,0.94283,0.000822004,0.000822004,0.000822004
6,97.5351,1.10145,1.62948,1.20235,0.70221,0.83107,0.83465,0.65677,0.85089,0.98866,0.9803,0.000819255,0.000819255,0.000819255
7,111.395,1.05904,1.52689,1.17557,0.7694,0.89297,0.91293,0.73447,0.76049,0.93644,0.98416,0.000816507,0.000816507,0.000816507
8,125.25,1.04941,1.45343,1.18353,0.81692,0.91338,0.95287,0.80728,0.64941,0.79292,0.94168,0.000813758,0.000813758,0.000813758
9,139.104,1.05399,1.3447,1.17217,0.90581,0.92581,0.97496,0.84904,0.57254,0.67269,0.91728,0.000811009,0.000811009,0.000811009
10,152.966,0.99815,1.22574,1.12736,0.75952,0.90059,0.91618,0.7779,0.65462,0.87829,0.92846,0.00080826,0.00080826,0.00080826
11,166.869,0.98097,1.12091,1.13365,0.91534,0.95967,0.99069,0.83832,0.653,0.6022,0.921,0.000805511,0.000805511,0.000805511
12,180.772,0.97215,1.08264,1.11718,0.95881,0.95059,0.98604,0.81998,0.7053,0.57385,0.93128,0.000802762,0.000802762,0.000802762
