epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.8386,1.8123,2.51131,1.45958,0.3989,0.72715,0.50873,0.25543,1.71682,1.7275,1.40165,0.000233966,0.000233966,0.000233966
2,41.9485,1.79475,2.4419,1.45226,0.39728,0.68753,0.52911,0.24941,1.70833,1.71343,1.40022,0.000462621,0.000462621,0.000462621
3,54.434,1.78906,2.3485,1.43094,0.42441,0.74982,0.51395,0.24345,1.72963,1.68137,1.4057,0.000681851,0.000681851,0.000681851
4,67.0307,1.77119,2.27025,1.43946,0.36291,0.76137,0.49033,0.2322,1.73154,1.68077,1.39152,0.000671588,0.000671588,0.000671588
5,79.4876,1.77589,2.18839,1.43311,0.45156,0.68513,0.56009,0.2717,1.7329,1.65136,1.42557,0.000657451,0.000657451,0.000657451
6,92.184,1.76222,2.11561,1.43904,0.44106,0.75942,0.56175,0.26672,1.72133,1.60957,1.40204,0.000643314,0.000643314,0.000643314
7,104.199,1.71502,1.98914,1.42184,0.42774,0.79283,0.55711,0.25528,1.76105,1.56776,1.44598,0.000629177,0.000629177,0.000629177
8,115.925,1.71434,1.96273,1.40065,0.49198,0.7077,0.62514,0.30262,1.78209,1.5104,1.45278,0.00061504,0.00061504,0.00061504
9,127.714,1.70786,1.95808,1.40884,0.48051,0.68922,0.56896,0.2716,1.77523,1.59648,1.43505,0.000600902,0.000600902,0.000600902
10,139.626,1.70674,1.90413,1.41316,0.48123,0.68577,0.59955,0.28529,1.7471,1.53636,1.40878,0.000586765,0.000586765,0.000586765
11,151.48,1.68525,1.82546,1.41056,0.4379,0.77583,0.58928,0.28201,1.7381,1.50714,1.42106,0.000572628,0.000572628,0.000572628
12,163.309,1.67556,1.78326,1.38033,0.50572,0.70765,0.61659,0.2978,1.72072,1.43466,1.38529,0.000558491,0.000558491,0.000558491
13,175.079,1.64321,1.76882,1.36034,0.51132,0.66085,0.6593,0.32443,1.73377,1.44278,1.38801,0.000544354,0.000544354,0.000544354
14,186.973,1.66493,1.73911,1.38542,0.47339,0.74262,0.59329,0.28253,1.74253,1.50102,1.39117,0.000530216,0.000530216,0.000530216
15,198.917,1.67194,1.73347,1.35337,0.5293,0.77664,0.63426,0.3098,1.72052,1.41681,1.41396,0.000516079,0.000516079,0.000516079
16,210.765,1.64625,1.68159,1.36199,0.52142,0.80161,0.6639,0.33714,1.73709,1.38821,1.39653,0.000501942,0.000501942,0.000501942
17,222.584,1.60351,1.64795,1.35614,0.57522,0.73239,0.65601,0.33005,1.68038,1.38397,1.38342,0.000487805,0.000487805,0.000487805
18,234.553,1.59368,1.6244,1.32964,0.5298,0.70062,0.65254,0.32799,1.71344,1.36311,1.4137,0.000473668,0.000473668,0.000473668
19,246.5,1.59472,1.62446,1.34545,0.53752,0.77961,0.67116,0.33319,1.71019,1.36078,1.39015,0.00045953,0.00045953,0.00045953
20,258.324,1.57087,1.61173,1.3353,0.54383,0.71598,0.65688,0.32546,1.66631,1.33291,1.38262,0.000445393,0.000445393,0.000445393
21,270.18,1.62833,1.61351,1.35473,0.47854,0.81156,0.63879,0.32191,1.70706,1.33841,1.3654,0.000431256,0.000431256,0.000431256
22,282.026,1.58141,1.58634,1.33277,0.58121,0.69958,0.64972,0.32521,1.69096,1.34401,1.38022,0.000417119,0.000417119,0.000417119
23,293.872,1.58471,1.56063,1.36455,0.53241,0.75333,0.6439,0.33609,1.67153,1.34142,1.35273,0.000402982,0.000402982,0.000402982
24,305.764,1.57419,1.52797,1.3395,0.53175,0.79226,0.68903,0.35071,1.69909,1.32934,1.37016,0.000388844,0.000388844,0.000388844
25,317.63,1.51486,1.52238,1.31589,0.54014,0.81309,0.70225,0.36991,1.65738,1.2774,1.36391,0.000374707,0.000374707,0.000374707
26,329.504,1.54313,1.51144,1.31027,0.66298,0.71455,0.7059,0.35499,1.68132,1.23365,1.36074,0.00036057,0.00036057,0.00036057
27,341.499,1.53869,1.4853,1.32299,0.5752,0.74307,0.66995,0.34445,1.7058,1.32914,1.39854,0.000346433,0.000346433,0.000346433
28,353.35,1.52631,1.46822,1.31077,0.58541,0.77033,0.70834,0.36374,1.64353,1.25351,1.35305,0.000332296,0.000332296,0.000332296
29,365.197,1.51902,1.45245,1.31287,0.61104,0.74825,0.68405,0.34885,1.67712,1.3069,1.37942,0.000318158,0.000318158,0.000318158
30,377.081,1.51826,1.45233,1.3055,0.56905,0.84112,0.69156,0.34216,1.69724,1.275,1.38472,0.000304021,0.000304021,0.000304021
31,388.941,1.51618,1.4101,1.29595,0.60538,0.83387,0.7214,0.37484,1.68145,1.23707,1.37346,0.000289884,0.000289884,0.000289884
32,400.853,1.50591,1.4213,1.27814,0.6577,0.77726,0.75306,0.39602,1.65676,1.15991,1.33634,0.000275747,0.000275747,0.000275747
33,412.886,1.48064,1.36698,1.28025,0.60551,0.79926,0.70991,0.35391,1.69904,1.26472,1.36657,0.00026161,0.00026161,0.00026161
34,424.754,1.47273,1.35492,1.28175,0.66104,0.81296,0.76794,0.39734,1.63423,1.15728,1.3348,0.000247472,0.000247472,0.000247472
35,436.663,1.46904,1.3813,1.27478,0.63682,0.80612,0.73728,0.39584,1.63786,1.11828,1.33298,0.000233335,0.000233335,0.000233335
36,448.578,1.4484,1.35306,1.27093,0.64721,0.84421,0.75049,0.38948,1.655,1.16617,1.35541,0.000219198,0.000219198,0.000219198
37,460.473,1.43627,1.30066,1.26686,0.59007,0.80899,0.72514,0.38571,1.64599,1.18133,1.33661,0.000205061,0.000205061,0.000205061
38,472.332,1.44303,1.31548,1.25312,0.66962,0.76461,0.74635,0.39046,1.63716,1.16867,1.33889,0.000190924,0.000190924,0.000190924
39,484.235,1.42504,1.29444,1.2406,0.64573,0.80493,0.75307,0.39704,1.62654,1.16195,1.33112,0.000176786,0.000176786,0.000176786
40,496.099,1.42364,1.25557,1.23582,0.68055,0.8276,0.76762,0.40928,1.62241,1.16263,1.34018,0.000162649,0.000162649,0.000162649
41,509.209,1.39262,1.13014,1.26531,0.61508,0.78572,0.69482,0.36343,1.66172,1.35432,1.35286,0.000148512,0.000148512,0.000148512
42,521.164,1.37767,1.06105,1.23695,0.71125,0.79696,0.76879,0.40357,1.6186,1.1454,1.34445,0.000134375,0.000134375,0.000134375
43,533.035,1.35618,1.03611,1.23177,0.69371,0.76864,0.78537,0.42009,1.62161,1.16414,1.33793,0.000120238,0.000120238,0.000120238
44,544.827,1.34623,1.0337,1.23418,0.6588,0.82587,0.76725,0.40995,1.62329,1.15497,1.33821,0.0001061,0.0001061,0.0001061
45,556.618,1.33464,1.01203,1.2242,0.68272,0.76319,0.75059,0.40193,1.63857,1.20632,1.34605,9.19632e-05,9.19632e-05,9.19632e-05
46,568.45,1.33015,1.00757,1.22076,0.7079,0.81452,0.80105,0.43241,1.62835,1.12344,1.34924,7.7826e-05,7.7826e-05,7.7826e-05
47,580.22,1.31592,0.98508,1.1968,0.68881,0.79528,0.79737,0.43528,1.61648,1.14682,1.33971,6.36888e-05,6.36888e-05,6.36888e-05
48,592.166,1.28358,0.95488,1.19253,0.74716,0.76429,0.80069,0.4363,1.61706,1.131,1.34617,4.95516e-05,4.95516e-05,4.95516e-05
49,603.999,1.29679,0.94632,1.19406,0.68449,0.85413,0.79172,0.42339,1.62525,1.1131,1.34977,3.54144e-05,3.54144e-05,3.54144e-05
50,615.757,1.3118,0.95763,1.20826,0.73285,0.79373,0.79501,0.42906,1.62448,1.09942,1.34771,2.12772e-05,2.12772e-05,2.12772e-05
