epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,88.3598,1.90538,0.4181,0.78448,1.70349,0.0002185,0.0002185,0.0002185
2,152.06,1.76939,0.41379,0.89224,1.5553,0.000419012,0.000419012,0.000419012
3,225.238,1.54048,0.55603,0.96983,1.30652,0.000597513,0.000597513,0.000597513
4,299.538,1.2989,0.51724,0.9569,1.26904,0.00056795,0.00056795,0.00056795
5,372.51,1.25305,0.51724,0.97845,1.30493,0.000534934,0.000534934,0.000534934
6,440.395,1.24756,0.60776,0.97845,1.08722,0.000501917,0.000501917,0.000501917
7,513.019,1.09091,0.62069,0.97414,1.0094,0.000468901,0.000468901,0.000468901
8,584.162,1.11362,0.61207,0.99138,0.97559,0.000435884,0.000435884,0.000435884
9,660.766,1.02069,0.67672,0.98707,0.78613,0.000402868,0.000402868,0.000402868
10,734.631,0.99329,0.67241,0.99569,0.90387,0.000369851,0.000369851,0.000369851
11,844.397,0.96619,0.68103,0.99569,0.83051,0.000336835,0.000336835,0.000336835
12,910.537,0.90309,0.72845,0.99569,0.73029,0.000303818,0.000303818,0.000303818
13,976.316,0.88626,0.72414,0.99569,0.79968,0.000270802,0.000270802,0.000270802
14,1041.95,0.85114,0.69397,0.99569,0.72238,0.000237785,0.000237785,0.000237785
15,1108.68,0.8048,0.7069,0.98707,0.76013,0.000204769,0.000204769,0.000204769
16,1177.5,0.78989,0.69397,0.98707,0.71516,0.000171752,0.000171752,0.000171752
17,1249.28,0.76073,0.7069,0.99138,0.73462,0.000138736,0.000138736,0.000138736
18,1321.83,0.7544,0.75,0.99569,0.72522,0.00010572,0.00010572,0.00010572
19,1396.37,0.72682,0.74138,0.99569,0.64847,7.2703e-05,7.2703e-05,7.2703e-05
20,1463.89,0.68318,0.73276,0.99569,0.69513,3.96865e-05,3.96865e-05,3.96865e-05
