epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.963,1.38125,1.77029,1.44211,0.98776,0.99123,0.98843,0.83954,0.61678,0.35459,0.96172,0.000273115,0.000273115,0.000273115
2,45.5376,1.11498,1.05514,1.24105,0.99236,0.99662,0.99421,0.84701,0.60363,0.28933,0.94599,0.000545329,0.000545329,0.000545329
3,60.1426,1.07101,0.94514,1.2038,0.9927,0.99905,0.995,0.84567,0.61887,0.29949,0.94136,0.000812045,0.000812045,0.000812045
4,74.8125,1.08718,0.91602,1.20791,0.99056,0.99804,0.995,0.85262,0.62641,0.30364,0.94387,0.00080826,0.00080826,0.00080826
5,89.5569,1.05767,0.87674,1.19553,0.99597,0.99836,0.995,0.85198,0.62057,0.28958,0.94239,0.000800013,0.000800013,0.000800013
6,104.31,1.05539,0.84966,1.19387,0.99449,1,0.995,0.87489,0.54884,0.29633,0.92271,0.000791767,0.000791767,0.000791767
7,119.249,1.0272,0.83471,1.18926,0.99281,0.99717,0.995,0.83134,0.68715,0.30266,0.96419,0.00078352,0.00078352,0.00078352
8,134.119,1.0282,0.84732,1.1773,0.99685,1,0.995,0.87582,0.54496,0.2705,0.92873,0.000775273,0.000775273,0.000775273
9,149.006,1.00682,0.79218,1.16208,0.99659,1,0.995,0.85051,0.62314,0.29749,0.9382,0.000767026,0.000767026,0.000767026
10,163.838,1.02104,0.80233,1.16723,0.99573,0.99686,0.995,0.8633,0.58337,0.29353,0.93139,0.00075878,0.00075878,0.00075878
11,178.708,0.99087,0.80502,1.16343,0.9969,1,0.995,0.86956,0.57446,0.28371,0.92937,0.000750533,0.000750533,0.000750533
12,193.63,1.02045,0.80965,1.18835,0.99662,1,0.995,0.84637,0.65568,0.28319,0.9507,0.000742286,0.000742286,0.000742286
13,208.54,0.99726,0.77958,1.15615,0.9943,0.99668,0.995,0.86373,0.58318,0.28846,0.92942,0.00073404,0.00073404,0.00073404
14,223.458,0.99211,0.79193,1.15344,0.99222,0.99987,0.99493,0.798,0.81022,0.33643,0.99807,0.000725793,0.000725793,0.000725793
15,238.339,0.96408,0.73745,1.1407,0.99477,1,0.995,0.84974,0.62821,0.28605,0.94526,0.000717546,0.000717546,0.000717546
