epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,3.06503,2.31848,0.29897,0.73711,2.03864,0.000233143,0.000233143,0.000233143
2,4.89143,1.98056,0.34021,0.9433,1.67899,0.000447821,0.000447821,0.000447821
3,6.64581,1.74016,0.41753,0.90722,1.53913,0.000638938,0.000638938,0.000638938
4,8.30209,1.69515,0.46907,0.95361,1.34365,0.000607971,0.000607971,0.000607971
5,9.89107,1.53787,0.46907,0.95361,1.73298,0.000572628,0.000572628,0.000572628
6,11.396,1.57739,0.53608,0.98969,1.57345,0.000537285,0.000537285,0.000537285
7,12.9395,1.54944,0.5,0.97423,1.27343,0.000501942,0.000501942,0.000501942
8,14.435,1.47453,0.49485,0.97423,1.49519,0.000466599,0.000466599,0.000466599
9,15.9736,1.39705,0.5,0.98454,1.40165,0.000431256,0.000431256,0.000431256
10,17.5289,1.37277,0.48969,0.98969,1.15639,0.000395913,0.000395913,0.000395913
11,19.7122,1.32751,0.5567,0.98969,1.1822,0.00036057,0.00036057,0.00036057
12,21.2508,1.25783,0.56701,0.98454,1.18555,0.000325227,0.000325227,0.000325227
13,22.7775,1.23826,0.55155,0.99485,1.08581,0.000289884,0.000289884,0.000289884
14,24.2814,1.21689,0.54639,1,1.10833,0.000254541,0.000254541,0.000254541
15,25.782,1.18883,0.60825,0.99485,1.00178,0.000219198,0.000219198,0.000219198
16,27.3385,1.13157,0.6134,0.99485,0.95947,0.000183855,0.000183855,0.000183855
17,28.9521,1.13942,0.6134,0.99485,1.00412,0.000148512,0.000148512,0.000148512
18,30.461,1.0601,0.63402,0.99485,0.89552,0.000113169,0.000113169,0.000113169
19,31.9889,1.07787,0.62887,0.99485,0.93422,7.7826e-05,7.7826e-05,7.7826e-05
20,33.5595,1.03274,0.63918,0.99485,0.81482,4.2483e-05,4.2483e-05,4.2483e-05
