epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.1238,1.6066,3.86171,1.60205,0.00555,0.97733,0.28414,0.11867,1.43365,3.33775,1.43948,0.000272618,0.000272618,0.000272618
2,41.9481,1.3046,2.80712,1.35578,0.44103,0.61754,0.49679,0.25631,1.38281,2.09954,1.33576,0.000548469,0.000548469,0.000548469
3,55.7339,1.23631,2.3481,1.29062,0.37627,0.6339,0.43974,0.32808,0.96822,1.94987,1.06556,0.000822487,0.000822487,0.000822487
4,69.5174,1.23133,2.11261,1.2831,0.58883,0.86923,0.71078,0.52162,0.99451,1.32093,1.05951,0.000824753,0.000824753,0.000824753
5,83.3315,1.15027,1.84282,1.22065,0.69845,0.78241,0.80141,0.64812,0.78465,1.24218,0.99564,0.000822004,0.000822004,0.000822004
6,97.1171,1.09375,1.63476,1.19287,0.68852,0.84172,0.8517,0.69009,0.7537,0.93178,0.96801,0.000819255,0.000819255,0.000819255
7,110.965,1.06019,1.51721,1.17552,0.81557,0.83889,0.92929,0.75988,0.66811,0.89585,0.9295,0.000816507,0.000816507,0.000816507
8,124.825,1.11787,1.41168,1.2005,0.71307,0.82993,0.88185,0.70753,0.7249,0.92872,0.93996,0.000813758,0.000813758,0.000813758
9,138.684,1.03782,1.30066,1.14814,0.83809,0.85922,0.93045,0.73546,0.7767,0.80252,0.96769,0.000811009,0.000811009,0.000811009
10,152.593,0.99242,1.19573,1.11652,0.71217,0.88674,0.86305,0.7377,0.5959,0.91753,0.90035,0.00080826,0.00080826,0.00080826
11,166.48,0.99725,1.11872,1.12099,0.96777,0.95778,0.99057,0.80851,0.74818,0.56084,0.95287,0.000805511,0.000805511,0.000805511
12,180.381,0.98102,1.05491,1.11785,0.93193,0.97456,0.9811,0.83794,0.61339,0.53799,0.91148,0.000802762,0.000802762,0.000802762
13,194.338,0.94337,1.07916,1.11581,0.81017,0.87826,0.89469,0.77153,0.60637,0.82946,0.92146,0.000800013,0.000800013,0.000800013
14,208.297,0.9785,1.04824,1.11329,0.91088,0.95556,0.9819,0.75747,0.94691,0.72846,1.03142,0.000797264,0.000797264,0.000797264
15,222.241,0.93032,0.95431,1.09729,0.95146,0.94926,0.98745,0.8656,0.56195,0.52254,0.90043,0.000794515,0.000794515,0.000794515
16,236.262,0.91442,0.92533,1.07594,0.94093,0.97058,0.98991,0.87681,0.5415,0.52604,0.89505,0.000791767,0.000791767,0.000791767
17,250.254,0.9264,0.89344,1.09129,0.84481,0.8785,0.95864,0.82488,0.62412,0.76253,0.92176,0.000789018,0.000789018,0.000789018
18,264.242,0.90237,0.90959,1.08562,0.98083,0.98441,0.99389,0.8374,0.68149,0.44688,0.94218,0.000786269,0.000786269,0.000786269
19,278.27,0.88045,0.83811,1.06826,0.98571,0.9905,0.99461,0.88129,0.52205,0.43651,0.88833,0.00078352,0.00078352,0.00078352
20,292.258,0.90291,0.83688,1.08613,0.96919,0.97976,0.98878,0.87188,0.51408,0.43407,0.87995,0.000780771,0.000780771,0.000780771
21,306.261,0.87566,0.79398,1.06872,0.95486,0.89663,0.97411,0.84203,0.58548,0.54078,0.90158,0.000778022,0.000778022,0.000778022
22,320.327,0.87177,0.79909,1.06633,0.93725,0.93819,0.97913,0.76487,0.87112,0.54695,1.00043,0.000775273,0.000775273,0.000775273
23,334.317,0.88263,0.81122,1.06914,0.98599,0.98792,0.99345,0.86345,0.59206,0.3933,0.90188,0.000772524,0.000772524,0.000772524
24,348.356,0.83391,0.75136,1.04811,0.97995,0.9781,0.99412,0.85562,0.5923,0.39609,0.90011,0.000769775,0.000769775,0.000769775
25,362.42,0.83276,0.75647,1.04624,0.96504,0.9542,0.99089,0.88447,0.5063,0.42836,0.8699,0.000767026,0.000767026,0.000767026
26,376.462,0.85632,0.76341,1.06466,0.99449,0.99702,0.995,0.86737,0.58758,0.36211,0.90014,0.000764278,0.000764278,0.000764278
27,390.562,0.81764,0.73669,1.04017,0.96837,0.97511,0.99166,0.8493,0.6151,0.42085,0.90776,0.000761529,0.000761529,0.000761529
28,404.645,0.83893,0.7388,1.05566,0.92233,0.96507,0.97259,0.87476,0.47816,0.5126,0.86884,0.00075878,0.00075878,0.00075878
29,418.686,0.80799,0.71358,1.0383,0.99217,0.98471,0.99318,0.88657,0.49168,0.4489,0.87986,0.000756031,0.000756031,0.000756031
30,432.757,0.81977,0.7109,1.04914,0.95781,0.94604,0.98849,0.86241,0.57361,0.4539,0.89802,0.000753282,0.000753282,0.000753282
31,446.815,0.81747,0.72234,1.05173,0.98965,0.98362,0.99484,0.88154,0.5067,0.36152,0.875,0.000750533,0.000750533,0.000750533
32,460.881,0.79601,0.6757,1.03196,0.97421,0.9896,0.99332,0.90879,0.4617,0.35638,0.86717,0.000747784,0.000747784,0.000747784
33,474.937,0.81607,0.69687,1.04677,0.98698,0.99066,0.995,0.88417,0.54626,0.36007,0.89267,0.000745035,0.000745035,0.000745035
34,489.021,0.80424,0.67639,1.03559,0.99405,0.9982,0.995,0.90626,0.44663,0.31659,0.86446,0.000742286,0.000742286,0.000742286
35,503.127,0.77862,0.65371,1.02949,0.99129,0.99913,0.995,0.86879,0.5563,0.32691,0.89363,0.000739537,0.000739537,0.000739537
36,517.212,0.8009,0.67668,1.03866,0.98219,0.9813,0.99257,0.88805,0.49561,0.35655,0.8684,0.000736788,0.000736788,0.000736788
37,531.272,0.78459,0.64678,1.02395,0.98418,0.98617,0.995,0.90284,0.4632,0.32133,0.86215,0.00073404,0.00073404,0.00073404
38,545.342,0.77725,0.64799,1.03046,0.99501,0.99502,0.995,0.91216,0.42845,0.33535,0.86468,0.000731291,0.000731291,0.000731291
39,559.41,0.75064,0.61403,1.00745,0.97359,0.96561,0.98667,0.89267,0.46845,0.34684,0.87678,0.000728542,0.000728542,0.000728542
40,573.505,0.74906,0.63307,1.01564,0.98732,0.95822,0.99121,0.91246,0.42299,0.33354,0.85151,0.000725793,0.000725793,0.000725793
41,587.571,0.75763,0.63658,1.02001,0.98377,0.97898,0.99469,0.91605,0.41396,0.35218,0.8515,0.000723044,0.000723044,0.000723044
42,601.687,0.75603,0.63052,1.01397,0.99087,0.98509,0.99476,0.86698,0.59328,0.32169,0.89931,0.000720295,0.000720295,0.000720295
43,615.791,0.76112,0.60378,1.01623,0.98407,0.99152,0.99452,0.91818,0.42396,0.30873,0.85311,0.000717546,0.000717546,0.000717546
44,629.906,0.71652,0.62284,1.00206,0.98424,0.98689,0.99432,0.91763,0.42464,0.31743,0.84996,0.000714797,0.000714797,0.000714797
45,644.027,0.7181,0.59333,0.99721,0.99672,0.99735,0.995,0.86536,0.57926,0.29991,0.89015,0.000712048,0.000712048,0.000712048
46,658.137,0.75686,0.60264,1.01629,0.99013,0.99869,0.995,0.8964,0.48157,0.28788,0.86505,0.000709299,0.000709299,0.000709299
47,672.241,0.73225,0.58377,1.00311,0.99589,0.99806,0.995,0.9093,0.4572,0.29021,0.85925,0.000706551,0.000706551,0.000706551
48,686.363,0.71392,0.59395,1.00127,0.99508,0.99392,0.995,0.89372,0.48738,0.30003,0.86783,0.000703802,0.000703802,0.000703802
49,700.499,0.72231,0.59823,0.99847,0.95979,0.96223,0.98197,0.89728,0.4257,0.37489,0.85855,0.000701053,0.000701053,0.000701053
50,714.628,0.72355,0.61503,1.00064,0.99589,0.99799,0.995,0.90258,0.45605,0.28993,0.86509,0.000698304,0.000698304,0.000698304
51,728.768,0.71664,0.57966,0.99534,0.98491,0.98241,0.99454,0.91184,0.4551,0.31178,0.86684,0.000695555,0.000695555,0.000695555
52,742.896,0.7147,0.59035,1.00147,0.99671,0.99944,0.995,0.91187,0.45692,0.29183,0.86204,0.000692806,0.000692806,0.000692806
53,757.013,0.71919,0.5931,1.00063,0.9862,0.99463,0.99469,0.90044,0.46303,0.2889,0.86166,0.000690057,0.000690057,0.000690057
54,771.154,0.7019,0.5662,0.98774,0.98368,0.99703,0.995,0.91964,0.3962,0.28772,0.84611,0.000687308,0.000687308,0.000687308
55,785.296,0.70579,0.58922,0.98877,0.99255,0.99144,0.995,0.92655,0.4103,0.2867,0.84722,0.000684559,0.000684559,0.000684559
56,799.421,0.71658,0.59798,1.00182,0.99672,0.99986,0.995,0.88921,0.50784,0.28338,0.86506,0.00068181,0.00068181,0.00068181
57,813.555,0.69731,0.56995,0.99802,0.9881,0.99172,0.99477,0.91996,0.40213,0.28768,0.848,0.000679062,0.000679062,0.000679062
58,827.7,0.70875,0.57623,0.99732,0.98261,0.97718,0.99136,0.92082,0.40662,0.30556,0.84777,0.000676313,0.000676313,0.000676313
