epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,7.94041,2.19202,0.44828,0.82328,1.51086,0.0002185,0.0002185,0.0002185
2,11.6484,1.57062,0.50862,0.97845,1.18945,0.000419012,0.000419012,0.000419012
3,14.9799,1.4097,0.53017,0.95259,1.3269,0.000597513,0.000597513,0.000597513
4,18.2556,1.28215,0.56897,0.97414,1.22333,0.00056795,0.00056795,0.00056795
5,21.6889,1.21315,0.56466,0.97845,1.26031,0.000534934,0.000534934,0.000534934
6,25.2154,1.22644,0.64655,0.99138,0.96204,0.000501917,0.000501917,0.000501917
7,28.77,1.08528,0.61207,0.96552,1.16681,0.000468901,0.000468901,0.000468901
8,32.1779,1.12155,0.60776,0.98276,0.9892,0.000435884,0.000435884,0.000435884
9,35.5515,0.99746,0.68534,1,0.88293,0.000402868,0.000402868,0.000402868
10,38.9529,0.91714,0.68103,0.99138,0.82562,0.000369851,0.000369851,0.000369851
11,43.4166,0.90467,0.7069,0.99138,0.77606,0.000336835,0.000336835,0.000336835
12,46.8691,0.90309,0.71121,0.99138,0.81375,0.000303818,0.000303818,0.000303818
13,50.1808,0.83619,0.67672,1,0.9267,0.000270802,0.000270802,0.000270802
14,53.4794,0.79832,0.65948,1,0.84402,0.000237785,0.000237785,0.000237785
15,56.7769,0.74624,0.70259,0.99569,0.80048,0.000204769,0.000204769,0.000204769
16,60.0964,0.73885,0.70259,0.99138,0.80478,0.000171752,0.000171752,0.000171752
17,63.3951,0.67538,0.72414,0.99138,0.7533,0.000138736,0.000138736,0.000138736
18,66.7668,0.67682,0.68534,0.99138,0.83014,0.00010572,0.00010572,0.00010572
19,70.0729,0.62934,0.75,0.99569,0.67903,7.2703e-05,7.2703e-05,7.2703e-05
20,73.4221,0.60011,0.73707,0.99569,0.74695,3.96865e-05,3.96865e-05,3.96865e-05
