epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.9266,1.20981,0.91474,1.14105,0.71304,0.79725,0.78216,0.42441,1.68028,1.08082,1.45116,0.000233966,0.000233966,0.000233966
2,43.9304,1.28193,0.98103,1.18369,0.77148,0.78749,0.82379,0.41973,1.77112,1.08482,1.51353,0.000462621,0.000462621,0.000462621
3,55.5239,1.36384,1.06766,1.2044,0.67333,0.83317,0.79524,0.41173,1.7206,1.0922,1.42896,0.000681851,0.000681851,0.000681851
4,67.0858,1.36796,1.07199,1.21628,0.71685,0.78352,0.79108,0.41502,1.70298,1.13384,1.4253,0.000671588,0.000671588,0.000671588
5,78.696,1.37216,1.14084,1.21957,0.6364,0.75517,0.70594,0.35885,1.75131,1.24443,1.46217,0.000657451,0.000657451,0.000657451
6,90.3244,1.38894,1.10935,1.2343,0.65325,0.73381,0.71071,0.35902,1.75425,1.26425,1.45495,0.000643314,0.000643314,0.000643314
7,102.018,1.35764,1.09365,1.21818,0.73929,0.78976,0.78467,0.39529,1.75761,1.0946,1.43339,0.000629177,0.000629177,0.000629177
8,114.32,1.36357,1.08372,1.21986,0.67904,0.82113,0.82076,0.42296,1.7409,1.11128,1.4212,0.00061504,0.00061504,0.00061504
9,126.231,1.36171,1.08873,1.22092,0.68638,0.73716,0.7617,0.36987,1.82859,1.17453,1.49248,0.000600902,0.000600902,0.000600902
10,138.398,1.40264,1.09095,1.24422,0.65622,0.81333,0.737,0.36846,1.72831,1.22783,1.41816,0.000586765,0.000586765,0.000586765
11,150.256,1.36524,1.09234,1.23014,0.66498,0.82299,0.76535,0.37753,1.74664,1.17614,1.48531,0.000572628,0.000572628,0.000572628
12,162.055,1.35477,1.05034,1.21792,0.65438,0.85114,0.75645,0.38863,1.73241,1.13621,1.42539,0.000558491,0.000558491,0.000558491
13,173.914,1.30774,1.04648,1.18848,0.62189,0.83759,0.74316,0.36899,1.7604,1.33539,1.47428,0.000544354,0.000544354,0.000544354
14,185.785,1.32499,1.044,1.21088,0.73054,0.74345,0.77615,0.40563,1.74573,1.1081,1.47528,0.000530216,0.000530216,0.000530216
15,197.6,1.32798,1.01915,1.19527,0.60455,0.79266,0.7614,0.38586,1.77986,1.19498,1.47589,0.000516079,0.000516079,0.000516079
16,209.563,1.31543,0.97558,1.18859,0.6931,0.78513,0.79719,0.41044,1.72829,1.07999,1.44243,0.000501942,0.000501942,0.000501942
17,221.459,1.28498,0.98052,1.18916,0.68529,0.81009,0.78723,0.4034,1.73363,1.08391,1.44573,0.000487805,0.000487805,0.000487805
18,234.167,1.29701,0.95447,1.17597,0.67678,0.7514,0.75961,0.38764,1.76847,1.17295,1.48303,0.000473668,0.000473668,0.000473668
19,246.401,1.29524,1.00513,1.19672,0.70787,0.77226,0.78477,0.41285,1.70725,1.07251,1.42754,0.00045953,0.00045953,0.00045953
20,258.523,1.24993,0.97492,1.16115,0.75152,0.78709,0.82063,0.40779,1.75366,1.04307,1.45257,0.000445393,0.000445393,0.000445393
21,270.464,1.31206,0.9965,1.20156,0.72023,0.83519,0.81771,0.41627,1.7549,1.02846,1.45449,0.000431256,0.000431256,0.000431256
22,282.465,1.28016,0.98954,1.18854,0.68987,0.87125,0.80023,0.41145,1.71854,1.05796,1.43789,0.000417119,0.000417119,0.000417119
23,295.269,1.26076,0.97375,1.18569,0.74932,0.8008,0.80032,0.42637,1.694,1.07842,1.4202,0.000402982,0.000402982,0.000402982
24,307.265,1.23715,0.95286,1.16469,0.75804,0.80675,0.78078,0.4006,1.6959,1.10811,1.46806,0.000388844,0.000388844,0.000388844
25,319.235,1.21761,0.9535,1.16745,0.72934,0.80942,0.80195,0.42329,1.70403,1.09459,1.45813,0.000374707,0.000374707,0.000374707
26,331.558,1.24988,0.9365,1.16332,0.74591,0.81841,0.78327,0.38963,1.74493,1.10838,1.46716,0.00036057,0.00036057,0.00036057
27,344.267,1.22417,0.90191,1.16025,0.75697,0.80952,0.83093,0.44112,1.69552,1.0077,1.41569,0.000346433,0.000346433,0.000346433
28,357.279,1.20988,0.86966,1.14585,0.76867,0.81485,0.83456,0.43785,1.71035,0.98712,1.44516,0.000332296,0.000332296,0.000332296
29,369.524,1.2004,0.88888,1.16046,0.67732,0.84785,0.796,0.42692,1.69167,1.09129,1.4577,0.000318158,0.000318158,0.000318158
30,381.581,1.19676,0.88462,1.14878,0.7573,0.81915,0.80777,0.43306,1.68519,1.04396,1.43469,0.000304021,0.000304021,0.000304021
31,393.602,1.20336,0.88072,1.13431,0.78629,0.80898,0.812,0.42343,1.74216,1.03358,1.48299,0.000289884,0.000289884,0.000289884
32,405.646,1.2005,0.85988,1.13048,0.7696,0.87157,0.82753,0.43524,1.72079,1.02939,1.47709,0.000275747,0.000275747,0.000275747
33,417.64,1.1597,0.83401,1.12984,0.75652,0.83038,0.83015,0.42748,1.7473,1.00247,1.47498,0.00026161,0.00026161,0.00026161
34,430.001,1.14622,0.83583,1.12188,0.77869,0.84618,0.85672,0.45369,1.72129,1.02761,1.46646,0.000247472,0.000247472,0.000247472
35,442.364,1.16825,0.86916,1.12986,0.75457,0.84988,0.8245,0.42769,1.69733,1.01772,1.46054,0.000233335,0.000233335,0.000233335
36,455.043,1.15377,0.85492,1.13032,0.79089,0.84476,0.8518,0.44084,1.75614,0.98909,1.47938,0.000219198,0.000219198,0.000219198
37,467.126,1.12532,0.81485,1.12006,0.72744,0.80065,0.82352,0.43484,1.74522,1.073,1.4781,0.000205061,0.000205061,0.000205061
38,479.099,1.14292,0.8258,1.11319,0.747,0.85042,0.80677,0.41455,1.75099,1.0394,1.48853,0.000190924,0.000190924,0.000190924
39,491.161,1.1371,0.81847,1.11095,0.71958,0.82871,0.80775,0.41618,1.74545,1.07447,1.49473,0.000176786,0.000176786,0.000176786
40,503.983,1.13088,0.80911,1.10016,0.70735,0.84802,0.81482,0.42271,1.74644,1.01096,1.50654,0.000162649,0.000162649,0.000162649
41,517.587,1.07783,0.58515,1.09503,0.74798,0.82198,0.79919,0.41588,1.73015,1.07232,1.50266,0.000148512,0.000148512,0.000148512
42,530.081,1.01337,0.56511,1.05107,0.76035,0.81912,0.80623,0.41926,1.71673,1.06169,1.48529,0.000134375,0.000134375,0.000134375
43,542.375,1.00819,0.56147,1.05338,0.77799,0.81622,0.83488,0.43331,1.72116,1.04292,1.49401,0.000120238,0.000120238,0.000120238
44,554.587,1.00609,0.54547,1.05302,0.79193,0.8109,0.83424,0.44279,1.71217,1.03289,1.49101,0.0001061,0.0001061,0.0001061
45,566.652,1.00452,0.55733,1.05233,0.77729,0.81689,0.81622,0.43039,1.70922,1.02668,1.49224,9.19632e-05,9.19632e-05,9.19632e-05
46,578.644,0.9896,0.54745,1.04824,0.81839,0.81593,0.84377,0.45235,1.69307,0.99411,1.49703,7.7826e-05,7.7826e-05,7.7826e-05
47,590.927,0.97661,0.53002,1.03468,0.77039,0.84963,0.81951,0.43962,1.68605,1.03081,1.49185,6.36888e-05,6.36888e-05,6.36888e-05
48,602.807,0.96446,0.52265,1.0352,0.7393,0.86449,0.82243,0.43913,1.69218,1.03256,1.50131,4.95516e-05,4.95516e-05,4.95516e-05
49,615.198,0.96369,0.5146,1.02848,0.75295,0.85308,0.82402,0.44105,1.69982,1.00423,1.49817,3.54144e-05,3.54144e-05,3.54144e-05
50,627.125,0.96417,0.5173,1.04486,0.76944,0.84142,0.82411,0.4411,1.68526,1.0067,1.48657,2.12772e-05,2.12772e-05,2.12772e-05
