epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,3.71222,3.03799,0.19072,0.63402,2.61607,0.000233143,0.000233143,0.000233143
2,5.26636,2.561,0.18557,0.60309,2.79464,0.000447821,0.000447821,0.000447821
3,6.57221,2.38225,0.23196,0.65979,2.17076,0.000638938,0.000638938,0.000638938
4,7.9111,2.28749,0.27835,0.74742,2.23577,0.000607971,0.000607971,0.000607971
5,9.22363,2.29669,0.24227,0.80928,2.119,0.000572628,0.000572628,0.000572628
6,10.5293,2.23331,0.26289,0.70619,2.27148,0.000537285,0.000537285,0.000537285
7,11.7586,2.20904,0.29381,0.86598,1.70975,0.000501942,0.000501942,0.000501942
8,13.009,2.11777,0.2732,0.8866,1.88198,0.000466599,0.000466599,0.000466599
9,14.2769,2.04596,0.25258,0.86598,2.34222,0.000431256,0.000431256,0.000431256
10,15.5372,2.07839,0.3299,0.90722,1.7228,0.000395913,0.000395913,0.000395913
11,17.3627,1.95434,0.31443,0.8866,1.93345,0.00036057,0.00036057,0.00036057
12,18.6114,1.98268,0.34536,0.90206,1.63679,0.000325227,0.000325227,0.000325227
13,19.8828,1.90818,0.34536,0.92268,1.71094,0.000289884,0.000289884,0.000289884
14,21.1678,1.94638,0.3866,0.91237,1.47928,0.000254541,0.000254541,0.000254541
15,22.4366,1.90321,0.39691,0.9433,1.52985,0.000219198,0.000219198,0.000219198
16,23.7146,1.82946,0.43814,0.94845,1.55176,0.000183855,0.000183855,0.000183855
17,25.002,1.87167,0.44845,0.93299,1.34134,0.000148512,0.000148512,0.000148512
18,26.4768,1.80961,0.4433,0.95361,1.37612,0.000113169,0.000113169,0.000113169
19,28.0344,1.77336,0.4433,0.95361,1.39251,7.7826e-05,7.7826e-05,7.7826e-05
20,29.5334,1.78807,0.4433,0.9433,1.28853,4.2483e-05,4.2483e-05,4.2483e-05
