epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,48.5418,0.4063,0.76724,0.99138,0.80267,0.0002185,0.0002185,0.0002185
2,98.5964,0.54857,0.6681,0.99138,1.40668,0.000436469,0.000436469,0.000436469
3,151.179,0.63551,0.68534,0.99138,0.93097,0.000650036,0.000650036,0.000650036
4,199.249,0.60914,0.75,0.97845,0.93524,0.00064719,0.00064719,0.00064719
5,244.55,0.64591,0.67241,0.98276,1.09314,0.000640587,0.000640587,0.000640587
6,290.517,0.69067,0.72414,0.98276,0.94397,0.000633983,0.000633983,0.000633983
7,336.048,0.56103,0.68966,0.97845,1.12296,0.00062738,0.00062738,0.00062738
8,378.72,0.67681,0.69828,0.98276,1.10596,0.000620777,0.000620777,0.000620777
9,421.235,0.54313,0.71552,0.98276,0.84534,0.000614174,0.000614174,0.000614174
10,467.174,0.56033,0.74569,1,0.80261,0.00060757,0.00060757,0.00060757
11,513.162,0.4859,0.74138,0.97845,1.1225,0.000600967,0.000600967,0.000600967
12,557.214,0.48461,0.72414,0.98707,1.05615,0.000594364,0.000594364,0.000594364
13,603.268,0.55056,0.74569,0.98707,1.09396,0.00058776,0.00058776,0.00058776
14,645.65,0.5255,0.68966,0.99138,0.94354,0.000581157,0.000581157,0.000581157
15,689.828,0.49266,0.74569,1,0.92725,0.000574554,0.000574554,0.000574554
16,730.486,0.51581,0.78879,0.98707,0.88076,0.00056795,0.00056795,0.00056795
17,769.004,0.40002,0.72845,0.99569,0.8678,0.000561347,0.000561347,0.000561347
18,814.417,0.52214,0.73276,0.98276,0.94037,0.000554744,0.000554744,0.000554744
19,856.298,0.51167,0.72414,0.98276,0.83829,0.000548141,0.000548141,0.000548141
20,899.132,0.4786,0.72845,0.98707,1.1181,0.000541537,0.000541537,0.000541537
21,944.079,0.46405,0.76724,0.99138,0.78339,0.000534934,0.000534934,0.000534934
22,987.447,0.4039,0.75862,0.99569,0.82452,0.000528331,0.000528331,0.000528331
23,1029.62,0.45891,0.77586,0.98276,1.11621,0.000521727,0.000521727,0.000521727
24,1071.89,0.5002,0.75,0.99138,1.01367,0.000515124,0.000515124,0.000515124
25,1113.64,0.46777,0.77155,0.98276,0.96304,0.000508521,0.000508521,0.000508521
26,1154.06,0.46931,0.75431,0.99138,0.91559,0.000501917,0.000501917,0.000501917
27,1195.93,0.40073,0.74138,0.99569,0.86652,0.000495314,0.000495314,0.000495314
