epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.6315,1.55688,3.77266,1.57861,0.23591,0.35199,0.28483,0.16602,1.24942,2.33489,1.17983,0.000275142,0.000275142,0.000275142
2,49.8316,1.28482,2.71981,1.31855,0.54775,0.78636,0.65404,0.4276,1.22617,1.4985,1.15431,0.000370382,0.000370382,0.000370382
3,65.3788,1.16184,2.33506,1.24702,0.59659,0.88702,0.72016,0.56519,0.82216,1.18181,0.99134,0.000282362,0.000282362,0.000282362
