epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,82.4246,0.54357,0.79937,0.98746,1.04351,0.00019355,0.00019355,0.00019355
2,139.028,0.64245,0.77429,1,0.92783,0.000385693,0.000385693,0.000385693
3,205.358,0.65495,0.76803,0.98119,0.92383,0.000573956,0.000573956,0.000573956
4,268.957,0.75743,0.77116,0.98746,0.84836,0.000570536,0.000570536,0.000570536
5,331.47,0.72915,0.75549,0.98746,0.88987,0.000564715,0.000564715,0.000564715
6,391.421,0.71536,0.72414,0.98433,1.00137,0.000558894,0.000558894,0.000558894
7,454.511,0.78194,0.75235,0.98746,0.9876,0.000553073,0.000553073,0.000553073
8,520.431,0.74681,0.74608,0.97806,0.90564,0.000547252,0.000547252,0.000547252
9,583.935,0.70067,0.74295,0.9906,0.97124,0.00054143,0.00054143,0.00054143
10,648.232,0.71991,0.77116,0.9906,0.79873,0.000535609,0.000535609,0.000535609
11,710.419,0.72647,0.79624,0.98433,0.85513,0.000529788,0.000529788,0.000529788
12,772.384,0.75582,0.75862,0.98746,0.84617,0.000523967,0.000523967,0.000523967
13,837.258,0.72333,0.75549,0.9906,0.88081,0.000518146,0.000518146,0.000518146
14,903.295,0.72887,0.76176,0.9906,0.95957,0.000512324,0.000512324,0.000512324
15,967.624,0.72105,0.76489,0.9906,0.87698,0.000506503,0.000506503,0.000506503
16,1031.05,0.72329,0.78056,0.98433,0.80623,0.000500682,0.000500682,0.000500682
17,1095.19,0.62429,0.80878,0.99373,0.77441,0.000494861,0.000494861,0.000494861
18,1159.38,0.67161,0.79937,0.99373,0.68723,0.00048904,0.00048904,0.00048904
19,1225.22,0.66716,0.78683,0.98433,0.78118,0.000483218,0.000483218,0.000483218
20,1289.02,0.6237,0.76176,0.98119,0.90435,0.000477397,0.000477397,0.000477397
21,1351.12,0.70129,0.78056,0.98119,0.79768,0.000471576,0.000471576,0.000471576
22,1416.41,0.61316,0.75235,0.99373,0.91104,0.000465755,0.000465755,0.000465755
23,1478.2,0.67772,0.78997,0.99687,0.79434,0.000459934,0.000459934,0.000459934
24,1539.86,0.62411,0.76489,0.9906,0.88228,0.000454112,0.000454112,0.000454112
25,1601.85,0.59855,0.77743,0.98433,0.8396,0.000448291,0.000448291,0.000448291
26,1663.19,0.62023,0.78056,0.98119,0.96567,0.00044247,0.00044247,0.00044247
27,1729.08,0.60023,0.79937,0.9906,0.80569,0.000436649,0.000436649,0.000436649
28,1791.26,0.59046,0.77429,0.9906,0.86079,0.000430828,0.000430828,0.000430828
29,1853.13,0.60523,0.77429,0.98119,0.96089,0.000425006,0.000425006,0.000425006
30,1916.28,0.56127,0.82445,0.99373,0.81066,0.000419185,0.000419185,0.000419185
31,1979.47,0.56977,0.82132,0.98433,0.77954,0.000413364,0.000413364,0.000413364
32,2038.45,0.58786,0.77429,0.99373,0.9251,0.000407543,0.000407543,0.000407543
33,2102.19,0.58317,0.77116,0.99373,0.95156,0.000401722,0.000401722,0.000401722
34,2164.71,0.61303,0.77116,0.99687,0.90388,0.0003959,0.0003959,0.0003959
35,2228.4,0.57955,0.80564,0.99373,0.80463,0.000390079,0.000390079,0.000390079
36,2290.23,0.57881,0.82132,0.99373,0.76261,0.000384258,0.000384258,0.000384258
37,2351.17,0.53197,0.77116,0.98746,0.91079,0.000378437,0.000378437,0.000378437
38,2413.68,0.53798,0.75235,0.9906,1.02583,0.000372616,0.000372616,0.000372616
39,2481.24,0.54854,0.7837,0.99373,0.87729,0.000366794,0.000366794,0.000366794
40,2547.24,0.55881,0.76803,0.98433,0.92244,0.000360973,0.000360973,0.000360973
41,2611.11,0.52712,0.78997,0.99373,0.871,0.000355152,0.000355152,0.000355152
42,2675.97,0.56394,0.77429,0.9906,0.89893,0.000349331,0.000349331,0.000349331
43,2738.49,0.54425,0.78997,0.99373,0.91282,0.00034351,0.00034351,0.00034351
44,2798.72,0.55968,0.79937,0.98746,0.97559,0.000337688,0.000337688,0.000337688
45,2860.82,0.57405,0.7837,0.98746,0.87527,0.000331867,0.000331867,0.000331867
