epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,88.58,1.63396,0.48276,0.92241,1.33234,0.0002185,0.0002185,0.0002185
2,164.572,1.4778,0.46552,0.95259,1.40503,0.000432105,0.000432105,0.000432105
3,235.009,1.36406,0.44828,0.96983,1.17871,0.000636905,0.000636905,0.000636905
4,303.548,1.22827,0.55172,0.98707,1.19031,0.00062738,0.00062738,0.00062738
5,375.456,1.13279,0.5819,0.98276,1.23035,0.000614174,0.000614174,0.000614174
6,446.273,1.19555,0.62069,0.98276,0.98492,0.000600967,0.000600967,0.000600967
7,513.08,1.07564,0.59914,0.98276,0.99622,0.00058776,0.00058776,0.00058776
8,579.778,1.0663,0.60345,0.97845,0.93707,0.000574554,0.000574554,0.000574554
9,649.63,0.99616,0.68534,0.99138,0.87268,0.000561347,0.000561347,0.000561347
10,717.88,0.94014,0.68966,0.97414,0.91565,0.000548141,0.000548141,0.000548141
11,791.794,0.87855,0.69828,0.97845,0.96027,0.000534934,0.000534934,0.000534934
12,858.746,0.89287,0.69828,0.98707,0.92084,0.000521727,0.000521727,0.000521727
13,927.19,0.93594,0.68966,0.99138,0.91675,0.000508521,0.000508521,0.000508521
14,995.639,0.82122,0.66379,0.98707,0.961,0.000495314,0.000495314,0.000495314
15,1063.88,0.80541,0.67241,0.97414,1.03409,0.000482108,0.000482108,0.000482108
16,1130.83,0.85341,0.73276,0.99569,0.73416,0.000468901,0.000468901,0.000468901
17,1198.62,0.70158,0.71121,0.99138,0.8833,0.000455694,0.000455694,0.000455694
18,1268.53,0.75818,0.68966,0.98707,1.03931,0.000442488,0.000442488,0.000442488
19,1338.79,0.76431,0.73276,0.98707,0.7807,0.000429281,0.000429281,0.000429281
20,1408.15,0.69977,0.73707,0.96983,0.74103,0.000416075,0.000416075,0.000416075
21,1475.03,0.67865,0.73276,0.99138,0.72003,0.000402868,0.000402868,0.000402868
22,1543.69,0.62736,0.71983,0.99138,0.82782,0.000389661,0.000389661,0.000389661
23,1610.31,0.63711,0.69828,0.98276,1.04318,0.000376455,0.000376455,0.000376455
24,1682.84,0.70004,0.72414,0.98707,0.86462,0.000363248,0.000363248,0.000363248
25,1750.03,0.64747,0.75431,0.98707,0.77368,0.000350042,0.000350042,0.000350042
26,1815.19,0.58509,0.73707,0.99138,0.72269,0.000336835,0.000336835,0.000336835
27,1883.25,0.54997,0.75431,0.99138,0.84412,0.000323628,0.000323628,0.000323628
28,1949.64,0.55629,0.75431,0.99138,0.66287,0.000310422,0.000310422,0.000310422
