epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,74.5225,2.41338,0.3605,0.83386,1.90527,0.00019355,0.00019355,0.00019355
2,166.469,1.71782,0.4326,0.94044,1.46221,0.000385693,0.000385693,0.000385693
3,267.524,1.53073,0.48903,0.96238,1.20557,0.000573956,0.000573956,0.000573956
4,370.236,1.42231,0.5674,0.97492,1.07427,0.000570536,0.000570536,0.000570536
5,470.619,1.29074,0.52038,0.97179,1.1832,0.000564715,0.000564715,0.000564715
6,570.846,1.27842,0.54859,0.95611,1.24678,0.000558894,0.000558894,0.000558894
7,675.724,1.25628,0.60188,0.98433,1.17422,0.000553073,0.000553073,0.000553073
8,781.485,1.17907,0.61755,0.98119,0.90146,0.000547252,0.000547252,0.000547252
9,884.807,1.14173,0.61755,0.97492,0.95591,0.00054143,0.00054143,0.00054143
10,984.209,1.13894,0.59561,0.98433,0.99229,0.000535609,0.000535609,0.000535609
11,1084.15,1.03553,0.65831,0.98746,0.91294,0.000529788,0.000529788,0.000529788
12,1184.82,1.07535,0.65831,0.98433,0.85449,0.000523967,0.000523967,0.000523967
13,1285.06,1.10902,0.59248,0.96238,0.97363,0.000518146,0.000518146,0.000518146
14,1384.78,1.03108,0.68025,0.98746,0.85601,0.000512324,0.000512324,0.000512324
15,1484.9,1.01943,0.68652,0.98746,0.87813,0.000506503,0.000506503,0.000506503
16,1587.28,0.97455,0.7116,0.98119,0.82539,0.000500682,0.000500682,0.000500682
17,1684.54,0.95462,0.67085,0.98119,0.90903,0.000494861,0.000494861,0.000494861
18,1782.72,0.97866,0.69592,0.98746,0.85923,0.00048904,0.00048904,0.00048904
19,1879.63,0.88069,0.7116,0.98433,0.74927,0.000483218,0.000483218,0.000483218
20,1978.7,0.84394,0.68652,0.98433,0.84053,0.000477397,0.000477397,0.000477397
21,2075.85,0.92736,0.68025,0.98119,0.90747,0.000471576,0.000471576,0.000471576
22,2181.08,0.87261,0.7116,0.98433,0.82744,0.000465755,0.000465755,0.000465755
23,2277.71,0.83149,0.721,0.98746,0.76824,0.000459934,0.000459934,0.000459934
24,2380.45,0.78939,0.70219,0.9906,0.7728,0.000454112,0.000454112,0.000454112
25,2480.31,0.80291,0.72727,0.98746,0.72979,0.000448291,0.000448291,0.000448291
26,2582.42,0.80062,0.70846,0.98119,0.79785,0.00044247,0.00044247,0.00044247
27,2684.52,0.70316,0.7116,0.97806,0.86265,0.000436649,0.000436649,0.000436649
28,2788.58,0.74656,0.73668,0.9906,0.76355,0.000430828,0.000430828,0.000430828
29,2889.76,0.73705,0.75235,0.98433,0.8082,0.000425006,0.000425006,0.000425006
30,2993.25,0.72607,0.72414,0.98746,0.78396,0.000419185,0.000419185,0.000419185
31,3092.97,0.7097,0.68652,0.98746,0.92705,0.000413364,0.000413364,0.000413364
32,3194.77,0.66767,0.72414,0.99373,0.76741,0.000407543,0.000407543,0.000407543
33,3295.61,0.77232,0.73668,0.99373,0.81318,0.000401722,0.000401722,0.000401722
34,3397.06,0.70763,0.78683,0.99373,0.65486,0.0003959,0.0003959,0.0003959
35,3494.52,0.64927,0.77743,0.98746,0.73635,0.000390079,0.000390079,0.000390079
36,3594.59,0.65718,0.77429,0.9906,0.69861,0.000384258,0.000384258,0.000384258
37,3691.64,0.64299,0.7837,0.9906,0.73267,0.000378437,0.000378437,0.000378437
38,3789.01,0.60301,0.74922,0.98119,0.78821,0.000372616,0.000372616,0.000372616
39,3889.02,0.63813,0.69592,0.98433,0.87153,0.000366794,0.000366794,0.000366794
