epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.8078,0.86168,0.82866,1.1236,0.97071,0.99104,0.98913,0.85294,0.57808,0.28524,0.93352,0.000274013,0.000274013,0.000274013
2,48.2033,0.71643,0.51316,1.02386,0.99221,0.99662,0.99455,0.85278,0.58958,0.25653,0.94645,0.000546218,0.000546218,0.000546218
3,62.4977,0.73791,0.52146,1.03575,0.99237,0.99662,0.99143,0.86555,0.54518,0.28003,0.92705,0.000812925,0.000812925,0.000812925
4,77.1033,0.75108,0.5267,1.04,0.99635,1,0.995,0.86167,0.56606,0.27036,0.92767,0.00080826,0.00080826,0.00080826
5,91.4887,0.75698,0.5291,1.03732,0.99049,0.99769,0.99359,0.86363,0.56706,0.2692,0.9306,0.000800013,0.000800013,0.000800013
6,106.044,0.71252,0.49565,1.02433,0.988,1,0.99234,0.8763,0.54007,0.26458,0.91196,0.000791767,0.000791767,0.000791767
7,120.581,0.72989,0.52061,1.02917,0.99182,0.99122,0.99372,0.88185,0.52927,0.26333,0.90718,0.00078352,0.00078352,0.00078352
8,135.179,0.71499,0.49931,1.03235,0.99293,0.99726,0.995,0.87137,0.54177,0.2675,0.91626,0.000775273,0.000775273,0.000775273
9,149.815,0.71049,0.50736,1.01752,0.97817,0.99208,0.9948,0.88373,0.52858,0.26907,0.91678,0.000767026,0.000767026,0.000767026
10,164.425,0.72085,0.49516,1.01592,0.98999,0.99319,0.98978,0.86379,0.54451,0.26937,0.92001,0.00075878,0.00075878,0.00075878
11,179.054,0.72112,0.48972,1.02177,0.99129,0.99662,0.99487,0.87995,0.53271,0.25756,0.91335,0.000750533,0.000750533,0.000750533
12,193.689,0.70523,0.47365,1.0136,0.99326,0.99662,0.99481,0.87914,0.5407,0.26842,0.91428,0.000742286,0.000742286,0.000742286
13,208.36,0.71447,0.49158,1.02326,0.99376,0.99435,0.99173,0.88195,0.51938,0.25328,0.91031,0.00073404,0.00073404,0.00073404
14,223.008,0.70214,0.49548,1.01562,0.99273,0.99371,0.99016,0.87659,0.54854,0.26013,0.91681,0.000725793,0.000725793,0.000725793
15,237.662,0.69487,0.47686,1.01936,0.9923,0.99123,0.99048,0.84859,0.64029,0.28046,0.93776,0.000717546,0.000717546,0.000717546
16,252.332,0.7015,0.47521,1.01525,0.98986,0.98193,0.99468,0.89022,0.5227,0.26648,0.91404,0.000709299,0.000709299,0.000709299
17,267.033,0.69905,0.47445,1.01447,0.98274,0.9893,0.99021,0.86008,0.59264,0.2867,0.93773,0.000701053,0.000701053,0.000701053
18,281.748,0.69581,0.48747,1.01664,0.99399,0.99662,0.99362,0.8841,0.52027,0.24655,0.91119,0.000692806,0.000692806,0.000692806
19,296.456,0.69453,0.46601,1.01516,0.99352,0.99662,0.99155,0.87908,0.54519,0.24853,0.91029,0.000684559,0.000684559,0.000684559
20,311.187,0.69141,0.48024,1.02047,0.99325,0.99758,0.995,0.89871,0.49548,0.23628,0.91155,0.000676313,0.000676313,0.000676313
21,325.936,0.68316,0.45932,1.00875,0.98969,0.99662,0.99196,0.88081,0.52348,0.24338,0.91388,0.000668066,0.000668066,0.000668066
22,340.689,0.69563,0.46951,1.00825,0.99329,0.99662,0.99312,0.89227,0.50921,0.24272,0.91339,0.000659819,0.000659819,0.000659819
23,355.421,0.6888,0.46975,1.00498,0.99149,0.99662,0.99471,0.87632,0.54349,0.25438,0.91241,0.000651573,0.000651573,0.000651573
24,370.174,0.67911,0.45121,0.99855,0.99206,0.99454,0.99193,0.87071,0.56197,0.2597,0.92526,0.000643326,0.000643326,0.000643326
25,384.911,0.67292,0.45774,1.00405,0.99245,0.99662,0.99157,0.87699,0.50833,0.25145,0.90713,0.000635079,0.000635079,0.000635079
26,399.662,0.67553,0.462,1.00694,0.97932,0.99201,0.98982,0.87938,0.52125,0.26932,0.91428,0.000626832,0.000626832,0.000626832
27,414.419,0.68243,0.47085,1.00177,0.99195,0.99662,0.99329,0.88191,0.52382,0.25292,0.91109,0.000618586,0.000618586,0.000618586
28,429.186,0.65243,0.46038,0.99844,0.99272,0.99374,0.99481,0.87363,0.53542,0.27055,0.91172,0.000610339,0.000610339,0.000610339
29,443.956,0.66152,0.45191,0.99403,0.99419,0.9949,0.99493,0.88048,0.51522,0.24654,0.90911,0.000602092,0.000602092,0.000602092
30,458.69,0.6677,0.44504,1.00198,0.99353,0.99662,0.99293,0.86169,0.59231,0.26102,0.9253,0.000593846,0.000593846,0.000593846
31,473.473,0.67953,0.46341,1.01086,0.9938,0.99662,0.99398,0.88743,0.504,0.24173,0.91414,0.000585599,0.000585599,0.000585599
32,488.247,0.6611,0.44263,0.99671,0.99389,0.99662,0.99123,0.88783,0.48732,0.23637,0.90181,0.000577352,0.000577352,0.000577352
33,503.029,0.67209,0.44136,1.01015,0.99431,0.99662,0.99405,0.88182,0.50717,0.23936,0.9071,0.000569106,0.000569106,0.000569106
34,517.839,0.66661,0.4544,1.00215,0.99459,0.99662,0.9937,0.88623,0.49523,0.23121,0.90179,0.000560859,0.000560859,0.000560859
35,532.581,0.64532,0.4349,0.98777,0.99404,0.99662,0.9936,0.88381,0.51078,0.23475,0.91183,0.000552612,0.000552612,0.000552612
36,547.341,0.65325,0.42743,0.99164,0.99166,0.98986,0.99086,0.88018,0.50529,0.24562,0.91213,0.000544365,0.000544365,0.000544365
37,562.119,0.64908,0.41917,0.98489,0.99174,0.99662,0.99477,0.88709,0.51055,0.24356,0.91745,0.000536119,0.000536119,0.000536119
38,576.912,0.64291,0.42374,0.99567,0.99411,0.99667,0.99385,0.88391,0.52681,0.23838,0.9124,0.000527872,0.000527872,0.000527872
39,591.679,0.63821,0.42755,0.98485,0.99094,0.99616,0.99311,0.8852,0.50679,0.241,0.91002,0.000519625,0.000519625,0.000519625
40,606.467,0.64857,0.41667,0.99151,0.99064,0.99572,0.99161,0.88812,0.50505,0.23549,0.90909,0.000511379,0.000511379,0.000511379
41,621.36,0.64921,0.43996,0.99451,0.9963,0.99822,0.995,0.8831,0.52695,0.23883,0.91975,0.000503132,0.000503132,0.000503132
42,636.152,0.64385,0.43563,0.99124,0.9948,0.99637,0.995,0.89061,0.49016,0.23621,0.90676,0.000494885,0.000494885,0.000494885
43,651.046,0.64403,0.441,0.99803,0.99181,0.99355,0.99137,0.87462,0.54535,0.25715,0.92109,0.000486639,0.000486639,0.000486639
44,665.804,0.62278,0.40802,0.97713,0.98467,0.99662,0.99493,0.89246,0.50547,0.2412,0.9078,0.000478392,0.000478392,0.000478392
45,680.59,0.63508,0.41989,0.98057,0.99195,0.99662,0.99493,0.8889,0.48776,0.23483,0.90872,0.000470145,0.000470145,0.000470145
46,695.387,0.61985,0.40338,0.98361,0.99395,0.99662,0.99387,0.88543,0.50906,0.23049,0.91668,0.000461898,0.000461898,0.000461898
47,710.151,0.61653,0.39934,0.98265,0.99458,0.99662,0.99461,0.88623,0.52356,0.23045,0.91161,0.000453652,0.000453652,0.000453652
48,724.93,0.63255,0.42955,0.98923,0.99454,0.99662,0.99477,0.89872,0.4971,0.22395,0.904,0.000445405,0.000445405,0.000445405
49,739.736,0.6396,0.41809,0.98096,0.99381,0.99662,0.99317,0.88466,0.52773,0.23376,0.91501,0.000437158,0.000437158,0.000437158
50,754.479,0.63328,0.42086,0.99102,0.99383,0.99662,0.99026,0.89476,0.49251,0.2369,0.91099,0.000428912,0.000428912,0.000428912
51,769.246,0.61798,0.40927,0.97186,0.9945,0.99662,0.99205,0.8979,0.48719,0.23558,0.9085,0.000420665,0.000420665,0.000420665
52,784.02,0.61661,0.41837,0.97467,0.99448,0.99662,0.99374,0.88795,0.49521,0.23043,0.90533,0.000412418,0.000412418,0.000412418
53,798.812,0.62061,0.4118,0.97779,0.99347,0.99662,0.99493,0.88614,0.50737,0.2276,0.90813,0.000404172,0.000404172,0.000404172
54,813.566,0.62034,0.40447,0.97351,0.9914,0.99662,0.99034,0.88725,0.51336,0.24433,0.90802,0.000395925,0.000395925,0.000395925
55,828.339,0.61739,0.41165,0.97288,0.99455,0.99662,0.99451,0.89678,0.49845,0.22555,0.9079,0.000387678,0.000387678,0.000387678
56,843.122,0.62174,0.41699,0.97645,0.99484,0.99662,0.98955,0.88612,0.49908,0.23536,0.90364,0.000379431,0.000379431,0.000379431
57,857.914,0.61973,0.41736,0.98036,0.99473,0.99662,0.99271,0.88582,0.49202,0.23015,0.908,0.000371185,0.000371185,0.000371185
58,872.681,0.60553,0.39825,0.97526,0.99464,0.99662,0.99125,0.89051,0.48585,0.23062,0.90389,0.000362938,0.000362938,0.000362938
59,887.458,0.60293,0.38606,0.97114,0.997,0.99706,0.995,0.89212,0.48853,0.22382,0.90377,0.000354691,0.000354691,0.000354691
60,902.285,0.61064,0.40028,0.97394,0.99762,1,0.995,0.89765,0.4769,0.21674,0.89906,0.000346445,0.000346445,0.000346445
61,917.081,0.61463,0.40168,0.97355,0.99485,0.99662,0.99487,0.89961,0.48303,0.22129,0.90104,0.000338198,0.000338198,0.000338198
