epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
32,712.862,0.279,0.2964,0.23911,0.82346,0.99964,1,0.995,0.99104,0.99964,1,0.995,0.98539,0.18026,0.20865,0.16196,0.78759,0.0013862,0.0013862,0.0013862
33,734.664,0.26991,0.28266,0.23003,0.8115,0.99936,1,0.995,0.98644,0.99936,1,0.995,0.98112,0.18048,0.20715,0.16086,0.78703,0.0013664,0.0013664,0.0013664
34,756.426,0.26564,0.27761,0.22416,0.8095,0.99951,1,0.995,0.9909,0.99951,1,0.995,0.98776,0.17632,0.20984,0.15401,0.78815,0.0013466,0.0013466,0.0013466
35,778.234,0.26993,0.28746,0.2282,0.8178,0.99948,1,0.995,0.99105,0.99948,1,0.995,0.98644,0.17796,0.21344,0.16123,0.78731,0.0013268,0.0013268,0.0013268
36,800.066,0.26612,0.28213,0.2319,0.80956,0.99921,1,0.995,0.99319,0.99921,1,0.995,0.98718,0.17287,0.20272,0.16008,0.78592,0.001307,0.001307,0.001307
37,821.972,0.26815,0.29118,0.23548,0.81138,0.99961,1,0.995,0.99243,0.99961,1,0.995,0.9861,0.18574,0.19998,0.15754,0.78677,0.0012872,0.0012872,0.0012872
38,843.889,0.25814,0.27957,0.21917,0.80334,0.99962,1,0.995,0.9901,0.99962,1,0.995,0.98568,0.16825,0.19876,0.1468,0.78577,0.0012674,0.0012674,0.0012674
39,865.685,0.24979,0.27529,0.21436,0.80981,0.99959,1,0.995,0.99252,0.99959,1,0.995,0.98274,0.16053,0.1991,0.15237,0.78592,0.0012476,0.0012476,0.0012476
40,887.436,0.25039,0.26844,0.21441,0.80891,0.99964,1,0.995,0.99238,0.99964,1,0.995,0.98896,0.17016,0.19821,0.14845,0.78679,0.0012278,0.0012278,0.0012278
41,909.327,0.24211,0.26628,0.20978,0.81376,0.99964,1,0.995,0.99265,0.99964,1,0.995,0.98735,0.17256,0.20156,0.15094,0.78826,0.001208,0.001208,0.001208
42,931.239,0.24168,0.26949,0.21241,0.80671,0.99961,1,0.995,0.99004,0.99961,1,0.995,0.98462,0.16757,0.20151,0.15549,0.78784,0.0011882,0.0011882,0.0011882
43,953.019,0.24033,0.26835,0.21684,0.80577,0.99963,1,0.995,0.99428,0.99963,1,0.995,0.98952,0.14787,0.19942,0.15805,0.78473,0.0011684,0.0011684,0.0011684
44,974.77,0.24425,0.27603,0.21838,0.81703,0.99949,1,0.995,0.99412,0.99949,1,0.995,0.98797,0.15285,0.19063,0.15427,0.78351,0.0011486,0.0011486,0.0011486
45,997.275,0.24875,0.27408,0.21517,0.80692,0.99958,1,0.995,0.99424,0.99958,1,0.995,0.98969,0.15889,0.19217,0.14001,0.78716,0.0011288,0.0011288,0.0011288
46,1020.89,0.23787,0.27145,0.21177,0.8037,0.9996,1,0.995,0.99431,0.9996,1,0.995,0.98617,0.14723,0.19703,0.15147,0.78482,0.001109,0.001109,0.001109
47,1044.43,0.24171,0.27262,0.21047,0.80323,0.99962,1,0.995,0.99298,0.99962,1,0.995,0.98748,0.15892,0.19247,0.14301,0.78632,0.0010892,0.0010892,0.0010892
48,1068.03,0.23726,0.26813,0.20699,0.79936,0.99955,1,0.995,0.99361,0.99955,1,0.995,0.9861,0.15876,0.19438,0.14156,0.78416,0.0010694,0.0010694,0.0010694
49,1091.9,0.22819,0.26567,0.20058,0.80419,0.99958,1,0.995,0.99409,0.99958,1,0.995,0.98769,0.15256,0.19687,0.13733,0.78323,0.0010496,0.0010496,0.0010496
50,1115.63,0.23438,0.26633,0.20578,0.80833,0.99965,1,0.995,0.99422,0.99965,1,0.995,0.98732,0.14207,0.19131,0.14064,0.78251,0.0010298,0.0010298,0.0010298
51,1139.4,0.22689,0.26246,0.19907,0.80411,0.99964,1,0.995,0.99417,0.99964,1,0.995,0.98789,0.15331,0.202,0.13681,0.78517,0.00101,0.00101,0.00101
52,1163.12,0.22169,0.26304,0.19758,0.8023,0.99964,1,0.995,0.99429,0.99964,1,0.995,0.98914,0.14481,0.19101,0.139,0.78454,0.0009902,0.0009902,0.0009902
53,1186.92,0.22282,0.25692,0.19463,0.7996,0.99947,1,0.995,0.99425,0.99947,1,0.995,0.98862,0.14233,0.19256,0.13429,0.78393,0.0009704,0.0009704,0.0009704
54,1209.18,0.21999,0.26503,0.19926,0.80562,0.99958,1,0.995,0.99365,0.99958,1,0.995,0.98989,0.14437,0.19202,0.13762,0.78115,0.0009506,0.0009506,0.0009506
55,1230.95,0.21787,0.2536,0.19247,0.80507,0.99921,1,0.995,0.99456,0.99921,1,0.995,0.98833,0.13763,0.19165,0.13085,0.78117,0.0009308,0.0009308,0.0009308
56,1252.66,0.22617,0.2626,0.19787,0.80862,0.99965,1,0.995,0.99451,0.99965,1,0.995,0.98765,0.13266,0.19517,0.13092,0.78172,0.000911,0.000911,0.000911
57,1274.19,0.21483,0.25445,0.18977,0.80294,0.99964,1,0.995,0.99114,0.99964,1,0.995,0.98656,0.14584,0.19561,0.12913,0.78196,0.0008912,0.0008912,0.0008912
58,1295.9,0.21533,0.26337,0.18933,0.80249,0.99963,1,0.995,0.99446,0.99963,1,0.995,0.99012,0.13103,0.18694,0.1204,0.78346,0.0008714,0.0008714,0.0008714
59,1317.31,0.21323,0.25806,0.18604,0.80266,0.99957,1,0.995,0.99356,0.99957,1,0.995,0.987,0.13804,0.19193,0.12923,0.78151,0.0008516,0.0008516,0.0008516
60,1338.68,0.21426,0.25515,0.18445,0.80144,0.9996,1,0.995,0.99495,0.9996,1,0.995,0.9893,0.13009,0.19153,0.12916,0.78157,0.0008318,0.0008318,0.0008318
61,1360.09,0.21868,0.26682,0.19103,0.80332,0.99963,1,0.995,0.99321,0.99963,1,0.995,0.99149,0.14709,0.19358,0.13155,0.78252,0.000812,0.000812,0.000812
62,1381.45,0.21464,0.26452,0.18753,0.80248,0.99943,1,0.995,0.99449,0.99943,1,0.995,0.98824,0.13018,0.18862,0.12069,0.78157,0.0007922,0.0007922,0.0007922
63,1402.9,0.20885,0.25381,0.18361,0.8074,0.99963,1,0.995,0.99485,0.99963,1,0.995,0.98965,0.12797,0.18475,0.12008,0.78152,0.0007724,0.0007724,0.0007724
64,1424.27,0.20523,0.25362,0.17987,0.79788,0.99965,1,0.995,0.995,0.99965,1,0.995,0.98928,0.12405,0.19106,0.12059,0.78105,0.0007526,0.0007526,0.0007526
65,1445.67,0.20781,0.24874,0.17922,0.80245,0.99965,1,0.995,0.99452,0.99965,1,0.995,0.98939,0.13171,0.18017,0.12045,0.78099,0.0007328,0.0007328,0.0007328
66,1467.02,0.20896,0.25323,0.17946,0.80488,0.99962,1,0.995,0.99436,0.99962,1,0.995,0.98804,0.13261,0.19156,0.12381,0.78225,0.000713,0.000713,0.000713
67,1488.34,0.20276,0.24823,0.17811,0.80731,0.99964,1,0.995,0.99417,0.99964,1,0.995,0.99159,0.13049,0.18658,0.12105,0.78117,0.0006932,0.0006932,0.0006932
68,1509.63,0.2021,0.249,0.17785,0.80376,0.99965,1,0.995,0.99463,0.99965,1,0.995,0.99018,0.12301,0.18207,0.11344,0.78188,0.0006734,0.0006734,0.0006734
